Category,Subcategory,year,grade,value,value_mean_or_percent,standard_deviation
Legacy Media,Newspapers(1-5 scale),2012,10,2.16,mean,1.2
Legacy Media,Newspapers(1-5 scale),2013,8,1.85,mean,1.11
Legacy Media,Newspapers(1-5 scale),2013,10,2,mean,1.14
Legacy Media,Newspapers(1-5 scale),2014,8,1.76,mean,1.06
Legacy Media,Newspapers(1-5 scale),2014,10,1.88,mean,1.09
Legacy Media,Newspapers(1-5 scale),2015,8,1.71,mean,1.02
Legacy Media,Newspapers(1-5 scale),2015,10,1.82,mean,1.06
Legacy Media,Newspapers(1-5 scale),2016,8,1.62,mean,0.98
Legacy Media,Newspapers(1-5 scale),2016,10,1.71,mean,1
Legacy Media,Going to movies(1-5 scale),1976-1979,12,2.72,mean,0.68
Legacy Media,Going to movies(1-5 scale),1980-1984,12,2.75,mean,0.67
Legacy Media,Going to movies(1-5 scale),1985-1989,12,2.78,mean,0.67
Legacy Media,Going to movies(1-5 scale),1990-1994,8,2.87,mean,0.76
Legacy Media,Going to movies(1-5 scale),1990-1994,10,2.72,mean,0.7
Legacy Media,Going to movies(1-5 scale),1990-1994,12,2.7,mean,0.67
Legacy Media,Going to movies(1-5 scale),1995-1999,8,2.89,mean,0.76
Legacy Media,Going to movies(1-5 scale),1995-1999,10,2.73,mean,0.7
Legacy Media,Going to movies(1-5 scale),1995-1999,12,2.7,mean,0.67
Legacy Media,Going to movies(1-5 scale),2000-2004,8,2.9,mean,0.77
Legacy Media,Going to movies(1-5 scale),2000-2004,10,2.75,mean,9.7
Legacy Media,Going to movies(1-5 scale),2000-2004,12,2.72,mean,0.67
Legacy Media,Going to movies(1-5 scale),2005-2009,8,2.86,mean,0.77
Legacy Media,Going to movies(1-5 scale),2005-2009,10,2.73,mean,0.7
Legacy Media,Going to movies(1-5 scale),2005-2009,12,2.68,mean,0.67
Legacy Media,Going to movies(1-5 scale),2010,8,2.75,mean,0.75
Legacy Media,Going to movies(1-5 scale),2010,10,2.65,mean,0.68
Legacy Media,Going to movies(1-5 scale),2010,12,2.62,mean,0.66
Legacy Media,Going to movies(1-5 scale),2011,8,2.7,mean,0.74
Legacy Media,Going to movies(1-5 scale),2011,10,2.57,mean,0.68
Legacy Media,Going to movies(1-5 scale),2011,12,2.53,mean,0.66
Legacy Media,Going to movies(1-5 scale),2012,8,2.68,mean,0.73
Legacy Media,Going to movies(1-5 scale),2012,10,2.61,mean,0.67
Legacy Media,Going to movies(1-5 scale),2012,12,2.57,mean,0.65
Legacy Media,Going to movies(1-5 scale),2013,8,2.63,mean,0.74
Legacy Media,Going to movies(1-5 scale),2013,10,2.54,mean,0.67
Legacy Media,Going to movies(1-5 scale),2013,12,2.49,mean,0.66
Legacy Media,Going to movies(1-5 scale),2014,8,2.64,mean,0.73
Legacy Media,Going to movies(1-5 scale),2014,10,2.51,mean,0.67
Legacy Media,Going to movies(1-5 scale),2014,12,2.49,mean,0.66
Legacy Media,Going to movies(1-5 scale),2015,8,2.63,mean,0.72
Legacy Media,Going to movies(1-5 scale),2015,10,2.49,mean,0.67
Legacy Media,Going to movies(1-5 scale),2015,12,2.48,mean,0.66
Legacy Media,Going to movies(1-5 scale),2016,8,2.59,mean,0.72
Legacy Media,Going to movies(1-5 scale),2016,10,2.48,mean,0.67
Legacy Media,Going to movies(1-5 scale),2016,12,2.44,mean,0.66
Legacy Media,TV (hr/day) (weekdays only),1976-1979,12,2.45,mean,1.83
Legacy Media,TV (hr/day) (weekdays only),1980-1984,12,2.42,mean,1.76
Legacy Media,TV (hr/day) (weekdays only),1985-1989,12,2.36,mean,1.77
Legacy Media,TV (hr/day),1990-1994,8,2.95,mean,1.61
Legacy Media,TV (hr/day),1990-1994,10,2.53,mean,1.55
Legacy Media,TV (hr/day) (weekdays only),1990-1994,12,2.34,mean,1.78
Legacy Media,TV (hr/day),1995-1999,8,2.89,mean,1.65
Legacy Media,TV (hr/day),1995-1999,10,2.42,mean,1.54
Legacy Media,TV (hr/day) (weekdays only),1995-1999,12,2.25,mean,1.78
Legacy Media,TV (hr/day),2000-2004,8,2.79,mean,1.65
Legacy Media,TV (hr/day),2000-2004,10,2.42,mean,1.59
Legacy Media,TV (hr/day) (weekdays only),2000-2004,12,2.2,mean,1.8
Legacy Media,TV (hr/day),2005-2009,8,2.64,mean,1.65
Legacy Media,TV (hr/day),2005-2009,10,2.34,mean,1.57
Legacy Media,TV (hr/day) (weekdays only),2005-2009,12,2.13,mean,1.75
Legacy Media,TV (hr/day),2010,8,2.49,mean,1.66
Legacy Media,TV (hr/day),2010,10,2.19,mean,1.54
Legacy Media,TV (hr/day) (weekdays only),2010,12,2.12,mean,1.75
Legacy Media,TV (hr/day),2011,8,2.44,mean,1.63
Legacy Media,TV (hr/day),2011,10,2.21,mean,1.54
Legacy Media,TV (hr/day) (weekdays only),2011,12,2.13,mean,1.77
Legacy Media,TV (hr/day),2012,8,2.29,mean,1.57
Legacy Media,TV (hr/day),2012,10,2.1,mean,1.52
Legacy Media,TV (hr/day) (weekdays only),2012,12,2.07,mean,1.75
