State,Total Students,Number_Male,Percent_Male,Number_Female,Percent_Female,Number_American Indian or Alaska Native,"Percent_American Indian or
Alaska Native",Number_Asian,Percent_Asian,Number_Hispanic or Latino of any race,Percent_Hispanic or Latino of any race,Number_Black or African American,Percent_Black or African American,Number_White,Percent_White,Number_Native Hawaiian or Other Pacific Islander,Percent_Native Hawaiian or Other Pacific Islander,Number_Two or more races,Percent_Two or more races,Number_Students With Disabilities Served Under IDEA,Percent_Students With Disabilities Served Under IDEA,Number_Students With Disabilities Served Only Under Section 504,Percent_Students With Disabilities Served Only Under Section 504,Number_English Language Learners,Percent_English Language Learners,Number of Schools,Percent of Schools Reporting,Grade,Academic Year
Virginia,978.00,550.00,0.56,428.00,0.44,2.00,0.2,25.00,2.6,146.00,14.9,424.00,43.4,340.00,34.8,1.00,0.1,40.00,4.1,259.00,26.5,10.00,1.0,129.00,13.2,429.00,100.0,2,2015-2016
Washington,206.00,120.00,0.58,86.00,0.42,7.00,3.4,5.00,2.4,76.00,36.9,7.00,3.4,95.00,46.1,1.00,0.5,15.00,7.3,59.00,28.6,5.00,2.4,48.00,23.3,145.00,100.0,2,2015-2016
West Virginia,181.00,109.00,0.6,72.00,0.4,1.00,0.6,0.00,0.0,4.00,2.2,6.00,3.3,168.00,92.8,0.00,0.0,2.00,1.1,35.00,19.3,2.00,1.1,4.00,2.2,119.00,100.0,2,2015-2016
Wisconsin,71.00,35.00,0.49,36.00,0.51,1.00,1.4,2.00,2.8,23.00,32.4,30.00,42.3,14.00,19.7,0.00,0.0,1.00,1.4,19.00,26.8,0.00,0.0,9.00,12.7,53.00,100.0,2,2015-2016
Wyoming,19.00,8.00,0.42,11.00,0.58,1.00,5.3,0.00,0.0,3.00,15.8,0.00,0.0,14.00,73.7,0.00,0.0,1.00,5.3,1.00,5.3,0.00,0.0,1.00,5.3,18.00,100.0,2,2015-2016
United States,"80,310.00","47,192.00",0.59,"33,118.00",0.41,"1,267.00",1.6,"1,137.00",1.4,"26,518.00",33.0,"19,903.00",24.8,"28,537.00",35.5,200.00,0.2,"2,748.00",3.4,"14,819.00",18.5,"1,909.00",2.4,"15,143.00",18.9,"22,282.00",100.0,1,2015-2016
Alabama,"2,576.00","1,565.00",0.61,"1,011.00",0.39,35.00,1.4,16.00,0.6,206.00,8.0,968.00,37.6,"1,300.00",50.5,2.00,0.1,49.00,1.9,421.00,16.3,17.00,0.7,180.00,7.0,514.00,100.0,1,2015-2016
Alaska,71.00,49.00,0.69,22.00,0.31,41.00,57.7,0.00,0.0,2.00,2.8,1.00,1.4,23.00,32.4,0.00,0.0,4.00,5.6,21.00,29.6,0.00,0.0,17.00,23.9,46.00,100.0,1,2015-2016
Arizona,"1,302.00",740.00,0.57,562.00,0.43,104.00,8.0,15.00,1.2,621.00,47.7,60.00,4.6,464.00,35.6,3.00,0.2,35.00,2.7,171.00,13.1,14.00,1.1,169.00,13.0,489.00,100.0,1,2015-2016
Arkansas,"1,089.00",619.00,0.57,470.00,0.43,6.00,0.6,8.00,0.7,132.00,12.1,255.00,23.4,651.00,59.8,12.00,1.1,25.00,2.3,157.00,14.4,34.00,3.1,83.00,7.6,305.00,100.0,1,2015-2016
California,"4,824.00","2,826.00",0.59,"1,998.00",0.41,35.00,0.7,176.00,3.6,"3,386.00",70.2,370.00,7.7,652.00,13.5,20.00,0.4,185.00,3.8,611.00,12.7,29.00,0.6,"2,112.00",43.8,"1,970.00",100.0,1,2015-2016
Colorado,911.00,551.00,0.6,360.00,0.4,11.00,1.2,10.00,1.1,446.00,49.0,52.00,5.7,354.00,38.9,6.00,0.7,32.00,3.5,236.00,25.9,10.00,1.1,208.00,22.8,418.00,100.0,1,2015-2016
Connecticut,712.00,382.00,0.54,330.00,0.46,1.00,0.1,13.00,1.8,359.00,50.4,150.00,21.1,166.00,23.3,0.00,0.0,23.00,3.2,92.00,12.9,11.00,1.5,137.00,19.2,252.00,100.0,1,2015-2016
Delaware,222.00,136.00,0.61,86.00,0.39,0.00,0.0,2.00,0.9,58.00,26.1,84.00,37.8,70.00,31.5,0.00,0.0,8.00,3.6,56.00,25.2,5.00,2.3,51.00,23.0,67.00,100.0,1,2015-2016
District of Columbia,113.00,72.00,0.64,41.00,0.36,0.00,0.0,1.00,0.9,22.00,19.5,83.00,73.5,7.00,6.2,0.00,0.0,0.00,0.0,28.00,24.8,1.00,0.9,28.00,24.8,49.00,100.0,1,2015-2016
Florida,"7,891.00","4,746.00",0.6,"3,145.00",0.4,20.00,0.3,61.00,0.8,"2,457.00",31.1,"2,411.00",30.6,"2,645.00",33.5,8.00,0.1,289.00,3.7,"2,060.00",26.1,159.00,2.0,"1,492.00",18.9,"1,540.00",100.0,1,2015-2016
Georgia,"3,372.00","1,962.00",0.58,"1,410.00",0.42,7.00,0.2,33.00,1.0,591.00,17.5,"1,378.00",40.9,"1,229.00",36.4,0.00,0.0,134.00,4.0,626.00,18.6,32.00,0.9,512.00,15.2,902.00,100.0,1,2015-2016
Hawaii,178.00,113.00,0.63,65.00,0.37,0.00,0.0,16.00,9.0,40.00,22.5,2.00,1.1,26.00,14.6,63.00,35.4,31.00,17.4,12.00,6.7,9.00,5.1,37.00,20.8,101.00,100.0,1,2015-2016
Idaho,184.00,106.00,0.58,78.00,0.42,3.00,1.6,0.00,0.0,53.00,28.8,0.00,0.0,122.00,66.3,0.00,0.0,6.00,3.3,24.00,13.0,2.00,1.1,35.00,19.0,92.00,100.0,1,2015-2016
Illinois,909.00,524.00,0.58,385.00,0.42,0.00,0.0,7.00,0.8,161.00,17.7,312.00,34.3,388.00,42.7,0.00,0.0,41.00,4.5,144.00,15.8,7.00,0.8,103.00,11.3,377.00,99.5,1,2015-2016
Indiana,"1,698.00",944.00,0.56,754.00,0.44,2.00,0.1,11.00,0.6,226.00,13.3,332.00,19.6,"1,012.00",59.6,1.00,0.1,114.00,6.7,356.00,21.0,14.00,0.8,135.00,8.0,565.00,100.0,1,2015-2016
