"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"        35 to 39 years","287,259","±9,048","47,741","±2,760","415,707","±11,326","175,755","±7,352","2,489,672","±24,520","387,480","±10,065","212,773","±6,007","60,415","±4,058","50,235","±3,554","1,275,624","±22,681","651,485","±13,238","83,287","±4,020","114,772","±5,548","756,118","±11,318","397,284","±9,900","181,064","±6,189","170,565","±5,936","255,109","±8,720","272,693","±8,762","77,250","±4,202","387,662","±10,429","432,156","±9,689","572,172","±12,683","359,095","±8,598","156,025","±8,259","358,094","±8,012","63,992","±3,984","112,492","±4,263","196,864","±7,560","80,427","±4,255","584,035","±12,111","133,571","±7,072","1,217,338","±15,464","638,455","±12,890","50,877","±4,333","685,037","±11,191","238,986","±6,705","266,191","±8,427","756,482","±13,810","64,587","±4,600","308,315","±10,381","52,852","±3,416","406,021","±12,156","1,910,133","±27,709","207,689","±6,926","38,925","±2,823","534,047","±14,265","512,479","±11,270","96,608","±4,481","346,818","±6,931","35,129","±2,876","",""
"        40 to 44 years","294,062","±9,239","43,838","±3,111","430,045","±11,939","183,947","±6,206","2,490,419","±26,870","387,151","±10,441","214,002","±6,022","59,978","±4,245","50,117","±3,552","1,331,132","±23,016","667,640","±13,637","87,204","±4,058","116,453","±5,458","772,184","±14,873","397,695","±9,216","190,012","±5,586","175,834","±6,670","260,105","±8,377","278,717","±9,867","80,327","±4,173","390,022","±12,583","421,345","±9,434","560,304","±9,807","361,605","±7,731","178,152","±7,366","363,525","±8,052","70,696","±3,954","125,632","±5,682","197,270","±7,979","80,154","±4,506","563,947","±12,094","122,094","±7,004","1,155,240","±17,171","643,486","±13,928","47,005","±3,661","675,593","±13,491","240,207","±5,800","268,792","±7,803","778,710","±12,718","69,966","±5,372","319,181","±10,500","53,654","±3,889","424,442","±12,034","1,976,272","±26,084","220,769","±6,346","34,573","±3,074","544,648","±12,065","496,234","±10,495","94,691","±4,711","343,458","±6,702","35,844","±2,776","",""
"        45 to 49 years","278,981","±5,337","39,006","±2,332","388,343","±5,263","166,145","±4,363","2,252,016","±10,643","335,344","±5,157","199,552","±2,935","52,070","±1,662","35,182","±2,011","1,232,702","±11,970","625,843","±9,158","75,891","±2,424","107,063","±2,323","723,959","±6,822","374,811","±4,887","176,446","±3,674","155,944","±3,200","250,029","±4,850","254,687","±6,160","71,863","±1,872","352,281","±4,422","384,048","±4,355","530,547","±5,869","316,790","±3,505","163,756","±5,975","333,039","±5,101","62,196","±2,103","105,076","±2,551","176,921","±3,252","73,111","±2,545","556,031","±5,127","111,705","±4,475","1,086,363","±5,834","602,545","±7,320","37,316","±1,827","625,386","±6,353","215,046","±3,557","243,077","±4,211","683,457","±7,156","56,035","±2,258","288,714","±6,909","46,070","±2,036","389,750","±6,345","1,759,244","±12,109","205,392","±4,041","35,267","±1,433","494,766","±6,326","437,241","±6,878","99,415","±2,943","325,136","±4,153","32,197","±1,861","",""
"        50 to 54 years","294,356","±5,605","34,369","±1,824","398,255","±4,334","167,455","±4,298","2,273,215","±10,180","322,109","±3,844","209,207","±2,932","53,921","±1,900","29,681","±1,608","1,306,604","±11,313","660,322","±7,585","77,820","±1,912","99,776","±1,872","738,469","±6,208","379,935","±5,041","166,969","±2,874","148,976","±3,368","259,187","±3,565","239,808","±4,960","83,076","±2,065","358,488","±4,360","404,647","±4,338","578,654","±4,404","304,309","±3,279","166,829","±5,353","332,507","±4,559","58,038","±1,792","99,562","±2,094","182,257","±3,345","81,331","±1,815","566,200","±5,169","107,130","±2,854","1,134,290","±5,555","639,198","±8,341","34,891","±1,127","659,459","±4,770","210,756","±3,302","242,832","±3,792","736,205","±4,678","59,836","±2,152","303,232","±6,204","43,639","±1,928","415,173","±4,526","1,701,506","±13,843","168,873","±3,601","36,498","±1,445","492,347","±6,334","425,563","±4,794","105,955","±2,173","324,823","±4,138","30,478","±2,217","",""
"        55 to 59 years","287,722","±6,839","33,516","±2,575","375,393","±8,930","159,261","±5,046","2,193,362","±21,887","291,775","±7,796","228,069","±5,963","60,812","±3,663","28,872","±2,464","1,319,012","±17,642","603,394","±11,930","77,113","±3,302","96,875","±4,129","709,224","±12,983","368,438","±9,640","165,849","±4,985","145,026","±5,357","258,008","±7,257","240,795","±6,438","86,559","±4,428","368,085","±9,509","434,823","±8,068","591,948","±11,146","303,790","±5,983","153,246","±5,744","337,513","±7,432","56,394","±3,548","99,425","±3,982","170,861","±6,168","91,861","±4,226","594,725","±10,494","108,934","±4,502","1,166,314","±19,246","608,609","±10,456","35,445","±2,228","652,594","±10,497","200,162","±4,795","221,937","±6,604","770,444","±13,426","67,701","±3,946","293,258","±7,287","45,857","±3,367","415,135","±10,313","1,517,284","±20,279","147,635","±4,333","36,409","±2,321","482,416","±10,175","410,431","±8,362","103,784","±4,281","339,147","±7,113","28,737","±2,254","",""
"        60 to 64 years","314,641","±6,669","44,508","±2,541","431,455","±9,664","186,314","±5,092","2,226,297","±19,592","334,130","±8,291","242,806","±6,638","73,234","±3,786","28,912","±2,427","1,457,381","±17,395","645,376","±11,618","83,639","±3,422","115,271","±4,102","778,898","±13,065","412,978","±9,344","199,950","±4,987","174,952","±5,144","280,524","±6,996","279,180","±7,478","106,585","±3,926","391,882","±8,709","452,151","±8,518","655,175","±10,800","366,149","±5,955","186,454","±5,025","387,681","±7,231","71,931","±3,340","112,258","±3,919","187,120","±7,029","107,589","±4,140","585,678","±10,413","127,647","±4,523","1,279,073","±17,732","669,031","±12,032","45,341","±2,775","754,874","±11,264","233,771","±4,052","238,991","±6,628","857,340","±11,911","72,648","±3,956","353,779","±8,080","58,767","±3,570","423,835","±9,486","1,588,627","±18,097","142,942","±4,688","47,606","±2,351","537,381","±9,610","438,056","±8,391","118,551","±4,276","407,224","±7,040","36,302","±2,577","",""
"        65 to 69 years","292,413","±6,941","35,956","±2,284","410,647","±9,140","164,174","±4,975","1,956,569","±18,433","301,342","±7,091","214,102","±4,997","72,647","±3,254","23,980","±1,994","1,356,754","±16,317","538,718","±10,075","84,940","±3,775","101,923","±3,919","703,578","±11,095","376,175","±7,810","179,113","±4,499","159,777","±4,349","260,402","±5,846","259,064","±6,442","95,578","±3,862","333,081","±6,505","406,619","±7,387","608,785","±9,410","317,289","±6,696","165,782","±5,959","347,046","±7,191","71,333","±3,157","100,637","±3,392","161,532","±5,386","100,239","±3,487","520,504","±8,856","119,124","±4,720","1,123,728","±13,674","596,843","±10,887","41,566","±2,127","689,178","±9,253","215,426","±4,244","235,991","±6,416","790,065","±9,278","64,960","±2,941","319,623","±7,443","53,819","±2,754","385,501","±8,812","1,370,903","±17,060","137,133","±3,991","43,806","±2,342","465,273","±8,244","406,936","±7,316","115,947","±4,334","363,140","±6,043","34,669","±2,260","",""
"        70 to 74 years","241,717","±6,615","31,156","±2,231","356,267","±9,283","145,665","±5,117","1,608,698","±19,002","258,334","±6,666","171,717","±5,367","58,106","±3,163","21,803","±1,879","1,193,793","±15,546","460,786","±9,770","73,787","±3,625","97,719","±3,642","560,930","±10,573","311,993","±6,810","159,625","±4,519","137,610","±4,312","208,716","±5,726","220,316","±6,243","87,290","±3,947","274,623","±6,427","326,266","±7,349","518,517","±9,327","271,589","±6,498","138,834","±5,478","301,564","±7,485","67,113","±2,787","90,819","±3,546","147,854","±6,052","71,046","±3,199","415,229","±8,681","117,160","±4,867","922,022","±14,152","507,641","±11,787","33,560","±1,891","578,898","±9,044","168,637","±4,394","229,890","±6,715","685,500","±9,141","56,614","±2,916","282,722","±7,636","47,603","±2,784","332,119","±8,605","1,103,866","±15,536","111,007","±4,076","40,813","±2,361","386,988","±8,203","359,819","±7,523","99,993","±4,051","302,592","±5,182","34,492","±2,384","",""
"        75 years and over","374,416","±3,078","36,236","±1,367","618,533","±4,396","222,359","±2,882","2,627,482","±7,843","364,143","±4,347","290,000","±3,069","87,779","±1,350","37,712","±798","2,173,071","±8,768","666,657","±5,323","137,372","±1,524","133,652","±1,932","900,628","±5,535","465,041","±3,787","239,969","±2,849","202,874","±2,737","314,109","±3,334","309,070","±3,920","127,820","±1,479","438,476","±3,461","536,709","±2,903","761,831","±3,897","402,819","±3,033","203,028","±2,416","455,581","±2,752","90,333","±1,691","133,368","±2,262","219,437","±2,797","114,265","±1,884","691,190","±4,692","173,172","±2,389","1,554,764","±5,186","773,120","±5,065","55,219","±1,546","872,708","±4,514","264,775","±2,463","332,518","±3,108","1,061,489","±5,138","87,781","±1,495","413,289","±2,970","63,304","±1,396","488,959","±3,405","1,619,033","±8,387","163,806","±1,899","58,462","±1,301","611,603","±4,278","528,470","±3,736","153,072","±2,039","444,538","±3,376","43,708","±1,409","",""
"    Moved within same county:","293,615","±15,678","51,472","±5,868","624,849","±24,510","196,980","±11,886","2,411,033","±59,699","359,314","±16,837","192,330","±13,993","59,653","±7,382","75,781","±9,529","1,491,788","±39,398","569,791","±24,400","98,493","±8,014","127,905","±8,892","700,521","±23,734","392,242","±16,510","193,200","±11,826","195,174","±10,125","265,043","±12,592","249,460","±18,211","67,727","±6,116","294,690","±19,534","349,792","±16,535","555,221","±23,419","291,376","±14,338","135,817","±12,170","364,025","±18,205","67,567","±6,233","134,541","±9,513","271,547","±18,018","57,488","±5,716","375,323","±18,276","132,191","±11,685","923,051","±26,050","557,063","±25,060","54,125","±7,408","755,794","±23,584","281,492","±13,712","286,098","±14,990","681,084","±25,015","59,522","±9,012","293,945","±17,172","50,821","±5,883","432,865","±18,502","2,235,944","±50,899","244,965","±14,742","33,940","±5,190","376,058","±18,355","575,001","±21,953","81,466","±7,666","321,494","±14,031","33,714","±4,291","",""
"        1 to 4 years","15,180","±2,915","2,540","±1,001","40,019","±5,441","14,195","±2,717","134,241","±8,478","16,720","±2,912","9,396","±2,350","3,959","±1,491","3,510","±1,575","82,955","±7,880","31,830","±4,381","6,703","±1,483","6,858","±1,483","40,820","±4,911","27,638","±3,768","11,208","±2,028","11,470","±1,961","20,462","±3,416","18,941","±3,986","3,893","±1,317","15,078","±3,145","16,488","±2,757","33,610","±4,322","16,621","±2,751","8,352","±1,919","21,594","±3,036","2,711","±1,061","7,387","±1,562","14,525","±3,171","2,095","±999","26,533","±3,898","9,464","±2,686","49,334","±5,126","28,381","±4,833","1,035","±569","43,287","±4,917","19,595","±2,743","13,185","±2,764","33,587","±4,064","3,404","±1,270","17,461","±2,789","2,430","±1,034","28,989","±3,907","144,241","±9,803","13,570","±2,818","1,749","±707","18,110","±2,833","31,869","±4,397","6,049","±1,835","16,893","±2,578","873","±430","",""
"        5 to 17 years","47,392","±6,889","9,624","±2,463","85,972","±8,035","29,722","±4,565","341,244","±19,846","45,270","±5,740","26,509","±4,979","6,443","±2,485","8,484","±3,389","215,369","±13,884","99,256","±9,322","12,570","±3,009","18,421","±2,959","90,919","±8,130","56,736","±5,690","26,880","±4,514","26,158","±3,999","40,290","±4,902","46,693","±8,490","8,686","±2,214","49,980","±7,625","40,864","±5,443","81,691","±8,777","39,484","±5,403","28,322","±5,491","58,836","±7,135","5,856","±1,361","20,655","±3,408","37,013","±6,720","6,843","±2,420","57,351","±6,371","20,207","±4,302","113,681","±7,226","82,529","±8,136","9,402","±3,337","112,195","±9,639","48,006","±5,114","32,285","±4,225","94,108","±9,232","6,588","±3,097","47,634","±7,027","9,297","±2,749","64,752","±7,102","387,858","±20,889","32,988","±5,472","4,311","±1,631","60,230","±7,342","80,427","±7,697","13,561","±3,029","43,656","±4,903","3,926","±1,186","",""
"        18 and 19 years","12,245","±2,791","1,693","±648","22,214","±3,518","8,082","±1,450","69,062","±3,987","15,090","±2,808","5,293","±1,214","2,758","±955","2,054","±868","38,578","±4,605","18,973","±3,049","2,984","±862","5,593","±1,511","22,332","±2,832","16,096","±2,804","8,248","±1,716","8,233","±1,590","10,122","±1,705","11,391","±2,644","1,645","±591","7,783","±1,857","13,058","±2,185","20,891","±2,578","11,894","±2,027","3,777","±1,283","11,794","±1,983","3,038","±1,348","4,912","±1,060","6,509","±1,580","1,992","±665","6,748","±1,738","5,088","±1,560","32,216","±3,122","21,517","±3,869","2,603","±1,184","26,179","±2,824","10,165","±1,491","8,341","±2,139","26,731","±2,983","2,548","±1,499","11,272","±2,486","2,434","±1,217","13,717","±2,383","69,233","±5,743","12,964","±2,348","2,307","±830","12,876","±1,959","16,444","±2,498","2,529","±709","12,181","±2,672","2,583","±975","",""
"        20 to 24 years","40,553","±4,064","5,779","±1,539","95,247","±7,636","32,407","±4,078","268,076","±12,969","62,333","±5,199","22,387","±3,495","12,070","±2,770","7,775","±2,057","155,702","±8,754","76,799","±6,300","11,819","±1,932","24,300","±3,228","89,120","±5,989","68,957","±5,474","38,413","±4,363","35,942","±3,876","40,983","±4,023","38,881","±4,761","8,776","±1,799","32,486","±4,407","37,993","±3,685","87,851","±5,763","48,038","±5,420","19,068","±2,713","60,838","±5,330","15,419","±2,644","27,580","±3,363","30,420","±4,470","7,778","±1,921","32,735","±4,376","18,621","±4,114","112,342","±7,138","85,306","±7,110","13,196","±2,723","122,927","±6,238","47,949","±4,035","45,687","±5,047","99,500","±6,015","9,345","±2,370","40,555","±5,134","7,712","±1,879","59,494","±6,011","296,604","±13,402","61,543","±5,894","6,758","±2,351","53,023","±5,102","68,949","±6,084","12,473","±2,168","66,364","±4,920","6,421","±1,687","",""
"        25 to 29 years","33,653","±4,428","5,454","±1,686","89,302","±7,263","21,284","±3,046","343,940","±15,600","52,758","±4,554","23,267","±3,908","7,619","±1,897","14,760","±2,674","174,620","±9,210","63,871","±5,304","10,059","±1,706","16,470","±2,790","102,970","±6,621","51,513","±5,378","24,564","±3,038","25,279","±2,918","32,257","±3,810","26,464","±3,810","6,778","±1,574","33,585","±3,704","54,003","±4,853","74,501","±5,557","39,804","±3,827","15,748","±2,959","42,333","±4,799","12,078","±2,141","18,297","±2,369","35,154","±4,414","6,320","±1,557","46,271","±4,942","18,575","±3,114","135,865","±7,830","76,832","±6,907","5,969","±1,605","93,793","±5,990","32,852","±2,639","41,119","±4,119","93,922","±6,829","6,522","±1,730","32,165","±4,275","8,693","±1,787","63,010","±5,325","304,477","±13,397","36,163","±4,422","4,242","±1,209","45,827","±4,259","84,401","±5,579","8,494","±2,015","39,850","±3,384","4,522","±1,886","",""
"        30 to 34 years","28,220","±3,724","6,854","±1,397","69,649","±5,801","19,490","±3,016","299,883","±11,950","51,456","±5,814","20,818","±3,170","6,832","±1,606","11,633","±2,431","154,331","±8,791","61,470","±5,785","10,715","±1,935","12,227","±2,422","81,945","±7,025","35,599","±3,407","16,397","±2,381","17,239","±2,342","20,384","±2,504","20,586","±3,167","7,417","±1,552","29,042","±3,633","42,127","±4,833","54,885","±5,294","26,840","±2,934","10,406","±1,912","32,717","±3,960","6,530","±1,420","11,578","±1,846","28,858","±3,867","6,629","±1,827","43,135","±4,536","12,641","±2,585","107,841","±6,339","53,208","±5,138","4,686","±1,589","72,915","±5,937","26,603","±3,486","37,994","±4,279","71,802","±5,487","5,746","±1,753","28,087","±3,631","4,165","±1,070","42,770","±4,306","250,376","±12,634","23,841","±3,762","2,669","±943","38,860","±4,138","74,360","±5,379","7,422","±1,755","31,635","±3,099","4,232","±1,486","",""
"        35 to 39 years","22,868","±3,187","4,656","±1,386","48,290","±5,551","15,171","±2,775","223,438","±11,941","28,995","±3,976","16,135","±2,463","4,213","±1,832","8,574","±2,196","128,575","±10,132","44,212","±4,906","8,276","±1,618","9,260","±1,871","62,436","±5,935","25,474","±3,526","12,437","±2,000","15,328","±3,112","20,654","±3,081","17,028","±2,288","5,777","±1,763","24,921","±4,445","30,660","±3,923","37,730","±4,373","19,728","±2,731","8,053","±1,738","28,299","±2,942","2,956","±963","8,223","±1,666","22,414","±3,460","3,736","±1,274","34,651","±4,070","8,265","±2,049","82,865","±6,805","42,214","±5,054","3,899","±1,749","50,867","±4,748","19,883","±2,620","25,235","±3,716","46,973","±4,297","4,639","±1,918","17,791","±3,359","2,894","±1,029","35,185","±4,097","169,125","±10,280","13,060","±2,609","992","±563","31,178","±4,411","51,456","±5,128","6,456","±1,680","17,844","±2,374","2,424","±1,041","",""
"        40 to 44 years","16,780","±3,183","2,624","±1,008","35,843","±3,726","9,858","±2,309","168,514","±9,940","21,601","±3,326","10,770","±2,383","2,878","±1,155","4,149","±1,542","102,065","±8,453","35,987","±4,105","8,800","±1,827","7,998","±1,952","40,068","±4,391","20,085","±2,803","8,229","±1,511","11,665","±2,338","18,763","±2,837","15,679","±3,577","4,018","±1,400","22,129","±3,602","21,828","±3,114","26,140","±3,325","15,649","±2,453","10,079","±2,317","18,729","±2,751","3,853","±1,038","4,952","±1,218","16,977","±3,140","3,710","±1,078","28,910","±4,137","7,218","±2,117","51,265","±4,489","33,839","±4,310","2,085","±938","38,881","±4,022","17,393","±2,703","17,480","±2,748","37,830","±3,874","2,157","±1,030","15,171","±3,025","2,888","±1,169","23,904","±3,626","136,317","±8,849","11,678","±2,311","2,437","±1,189","24,901","±3,674","41,194","±4,709","6,226","±1,645","18,614","±2,761","2,434","±1,000","",""
"        45 to 49 years","14,801","±2,425","2,503","±774","27,234","±3,363","8,681","±1,919","112,156","±7,088","14,963","±3,287","9,551","±2,360","2,260","±1,111","2,199","±999","73,939","±6,075","27,310","±3,461","5,138","±1,136","4,329","±1,372","34,066","±4,574","16,209","±2,532","5,810","±1,685","6,866","±1,437","11,134","±2,005","11,367","±2,059","3,330","±1,003","16,030","±2,968","14,836","±2,402","25,594","±3,481","11,330","±2,018","7,322","±2,047","13,856","±1,983","2,820","±918","7,402","±1,463","14,400","±2,331","2,212","±736","16,805","±2,982","7,289","±1,795","43,248","±4,284","26,977","±3,294","2,316","±1,480","32,148","±4,316","11,531","±1,494","12,450","±2,607","28,819","±3,428","2,815","±1,257","12,795","±1,974","2,409","±1,077","17,540","±2,918","110,200","±8,482","8,687","±1,771","2,288","±764","17,065","±2,120","26,293","±4,069","2,524","±855","11,143","±1,997","1,197","±553","",""
"        50 to 54 years","13,201","±2,196","2,248","±962","22,275","±3,231","8,797","±1,972","98,137","±7,266","10,420","±1,962","9,167","±1,904","1,909","±909","3,803","±1,411","69,854","±7,147","28,409","±4,191","4,512","±1,312","4,776","±1,243","25,689","±3,857","14,281","±2,581","6,795","±1,221","7,172","±1,788","8,660","±1,705","8,314","±1,731","2,228","±799","11,315","±2,244","15,822","±3,078","19,638","±2,617","10,550","±1,736","5,162","±1,505","11,752","±1,964","2,344","±801","2,226","±595","12,957","±2,082","2,404","±1,051","18,374","±3,704","4,576","±1,157","34,651","±3,572","21,648","±3,014","1,268","±634","28,515","±3,462","9,855","±1,459","9,961","±2,237","27,813","±2,697","3,550","±1,583","15,271","±3,000","1,230","±509","15,845","±2,155","89,107","±7,355","7,437","±1,746","1,581","±1,134","15,199","±2,658","18,784","±2,557","2,708","±849","9,876","±1,976","440","±303","",""
"        55 to 59 years","11,759","±2,087","1,117","±362","18,155","±2,708","6,170","±1,403","78,463","±5,368","7,281","±1,503","10,974","±2,089","2,181","±917","2,437","±936","62,355","±5,631","21,192","±2,642","3,728","±1,086","4,027","±1,287","20,576","±2,920","14,310","±2,455","4,943","±971","5,632","±1,607","8,531","±1,625","7,399","±1,691","3,489","±1,103","13,864","±2,770","10,810","±1,668","19,635","±2,573","8,826","±1,709","4,054","±975","12,955","±1,876","3,057","±913","4,770","±1,293","13,939","±2,640","1,922","±855","12,992","±1,860","5,064","±1,443","37,703","±3,920","20,710","±2,982","1,594","±824","23,867","±2,646","7,856","±1,281","9,464","±1,903","23,519","±2,922","3,392","±1,231","12,111","±2,225","1,005","±551","15,982","±2,959","71,467","±5,897","5,360","±1,555","719","±404","14,227","±2,517","17,649","±3,008","1,965","±763","8,111","±1,485","1,129","±662","",""
"        60 to 64 years","9,920","±1,708","2,741","±998","17,674","±2,343","7,411","±1,808","79,327","±5,414","8,686","±1,550","8,099","±1,877","2,273","±846","985","±529","59,927","±4,898","20,256","±2,717","3,756","±1,282","3,908","±1,050","23,769","±3,061","12,206","±1,632","7,965","±1,623","5,416","±1,109","9,982","±1,945","8,845","±1,891","1,842","±756","12,683","±2,868","14,870","±2,669","19,673","±2,671","10,157","±1,801","4,115","±1,186","14,018","±2,514","1,495","±455","3,607","±912","12,603","±2,393","2,543","±920","15,454","±2,365","4,439","±1,127","32,407","±3,363","16,332","±2,687","1,226","±643","32,594","±2,883","7,756","±1,189","9,802","±2,122","20,888","±2,546","2,343","±1,018","12,516","±2,520","971","±346","16,125","±3,279","63,598","±6,171","5,769","±1,685","1,197","±726","12,242","±2,725","19,128","±2,711","1,776","±705","12,202","±1,775","1,247","±650","",""
"        65 to 69 years","8,371","±1,258","1,043","±391","16,813","±2,291","4,554","±1,062","58,822","±4,392","6,828","±1,440","6,914","±1,715","927","±515","2,332","±1,223","49,099","±4,441","12,162","±2,347","3,439","±1,010","3,055","±772","20,268","±3,237","9,061","±1,336","5,149","±1,075","5,037","±1,330","6,949","±1,573","4,906","±1,122","2,941","±1,498","8,827","±2,268","12,144","±2,583","14,776","±2,031","6,544","±1,151","3,148","±869","12,096","±1,968","905","±504","3,508","±895","8,481","±1,421","2,899","±1,222","11,866","±2,540","3,027","±1,098","25,990","±2,917","17,220","±2,451","1,177","±541","22,572","±2,679","6,829","±1,199","6,361","±1,990","18,779","±2,094","1,811","±937","10,000","±1,945","1,035","±520","11,364","±2,257","48,258","±4,564","4,221","±1,062","819","±501","8,543","±1,600","13,919","±2,381","2,219","±856","8,454","±1,689","929","±502","",""
"        70 to 74 years","7,000","±1,558","834","±422","11,516","±2,034","4,211","±1,102","48,132","±3,657","4,800","±1,032","4,077","±1,224","1,048","±527","1,452","±723","35,218","±3,833","9,219","±2,013","2,209","±784","2,327","±725","16,643","±2,293","7,501","±1,470","3,522","±880","3,670","±959","5,948","±1,356","4,639","±1,146","2,656","±869","5,630","±1,412","6,922","±1,496","12,664","±1,753","6,853","±1,200","2,568","±692","6,762","±1,563","1,485","±707","2,649","±758","6,623","±1,466","2,311","±586","7,332","±1,498","3,149","±951","18,522","±2,043","10,443","±1,571","1,056","±624","16,918","±2,115","4,685","±785","5,129","±1,016","17,543","±2,415","1,807","±773","8,177","±1,875","801","±536","7,409","±1,377","33,461","±3,028","2,019","±568","535","±299","8,415","±1,703","9,917","±1,585","1,331","±582","8,092","±1,613","476","±401","",""
"        75 years and over","11,672","±1,595","1,762","±483","24,646","±2,854","6,947","±1,333","87,598","±5,158","12,113","±2,109","8,973","±1,489","2,283","±619","1,634","±441","89,201","±5,791","18,845","±2,372","3,785","±941","4,356","±923","28,900","±3,106","16,576","±2,391","12,640","±2,017","10,067","±1,452","9,924","±1,854","8,327","±1,539","4,251","±926","11,337","±2,100","17,367","±1,909","25,942","±2,675","19,058","±1,926","5,643","±852","17,446","±2,083","3,020","±748","6,795","±1,307","10,674","±2,148","4,094","±1,010","16,166","±2,077","4,568","±1,018","45,121","±3,727","19,907","±2,072","2,613","±817","38,136","±2,968","10,534","±1,390","11,605","±2,088","39,270","±3,232","2,855","±932","12,939","±1,997","2,857","±582","16,779","±2,136","61,622","±3,980","5,665","±1,179","1,336","±489","15,362","±1,909","20,211","±2,239","5,733","±1,211","16,579","±1,835","881","±349","",""
"    Moved from different county within same state:","144,214","±8,826","21,132","±4,857","111,062","±9,849","94,414","±7,402","928,803","±26,324","253,740","±13,523","70,398","±5,559","10,150","±2,666","0","±247","721,571","±25,860","498,808","±18,904","6,879","±1,549","60,831","±6,954","292,792","±13,346","242,199","±12,846","110,625","±6,951","87,451","±6,735","159,369","±9,331","134,668","±9,413","31,489","±4,110","156,629","±10,767","191,004","±10,054","330,408","±14,089","220,471","±10,965","93,354","±7,711","213,559","±10,376","36,447","±4,636","62,516","±5,710","23,740","±3,822","31,475","±4,794","208,686","±11,479","40,028","±6,061","458,941","±17,586","388,710","±15,679","23,839","±3,941","375,543","±12,741","158,564","±8,603","122,304","±8,210","325,396","±14,023","17,497","±4,024","156,506","±10,315","35,417","±4,015","206,222","±14,250","1,178,126","±34,215","96,459","±7,260","12,473","±2,402","370,737","±16,806","201,713","±10,700","47,186","±5,655","187,669","±10,780","11,549","±1,862","",""
"        1 to 4 years","9,935","±2,417","912","±424","4,067","±1,610","4,750","±1,271","41,525","±5,135","9,983","±1,709","2,619","±1,135","773","±598","0","±247","27,552","±3,807","23,667","±3,895","348","±385","3,757","±1,306","14,470","±2,299","14,113","±2,645","4,287","±1,104","4,919","±1,369","7,908","±1,775","7,852","±2,173","1,034","±469","8,735","±2,090","6,969","±1,581","16,255","±2,438","10,299","±2,261","5,668","±1,536","11,296","±2,170","2,390","±933","2,320","±915","866","±667","1,735","±993","10,669","±2,518","2,313","±1,070","21,554","±3,847","15,880","±3,069","1,703","±985","18,566","±3,082","8,367","±1,641","5,003","±1,362","13,741","±2,593","0","±244","8,278","±2,122","1,087","±565","9,079","±2,008","59,510","±6,085","6,713","±1,636","563","±420","20,035","±3,008","8,547","±2,386","1,629","±698","6,484","±1,252","326","±275","",""
