"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"    50 to 54 years","318,895","±5,230","38,983","±1,429","435,880","±2,651","184,414","±4,148","2,426,685","±5,182","352,365","±3,539","225,311","±1,483","59,062","±1,135","34,776","±558","1,450,006","±7,192","724,731","±6,888","84,567","±1,249","109,769","±1,575","782,763","±3,253","409,440","±3,783","180,403","±2,724","161,431","±2,703","279,009","±2,842","257,029","±4,615","88,932","±1,566","384,466","±3,276","432,547","±2,626","614,862","±3,353","327,027","±3,129","180,264","±5,034","359,296","±3,383","62,936","±1,460","104,997","±2,077","203,863","±2,051","86,954","±1,656","599,510","±2,828","115,497","±2,816","1,200,307","±3,313","692,498","±7,349","37,378","±1,209","709,836","±3,945","230,908","±2,849","262,238","±3,355","781,516","±3,860","65,540","±2,000","334,554","±4,792","48,189","±1,833","449,921","±3,828","1,873,902","±9,173","183,912","±2,649","39,521","±1,174","535,275","±5,227","460,807","±2,556","113,262","±1,883","346,208","±3,225","32,242","±2,063","",""
"    55 to 59 years","309,735","±6,533","36,095","±2,606","409,768","±8,864","172,334","±5,316","2,325,201","±21,656","311,902","±8,568","246,162","±5,859","64,820","±3,732","32,940","±2,480","1,458,378","±16,682","653,752","±12,324","83,512","±3,239","104,035","±3,792","747,925","±12,556","394,661","±9,355","176,569","±5,085","156,462","±5,271","276,551","±7,253","255,271","±6,638","91,659","±4,382","394,649","±9,241","456,096","±8,215","631,061","±10,840","326,177","±6,494","163,553","±5,507","364,956","±8,160","62,562","±3,448","108,663","±4,065","194,640","±6,634","97,467","±4,178","626,140","±10,210","117,308","±4,625","1,234,166","±17,840","660,551","±10,723","38,373","±2,477","692,000","±10,836","217,206","±4,393","242,084","±6,771","813,719","±13,040","73,717","±4,008","318,974","±7,529","48,406","±3,415","451,089","±10,697","1,654,232","±18,895","158,374","±4,663","39,327","±2,238","522,499","±10,151","443,051","±8,227","109,445","±4,448","359,498","±7,109","31,081","±2,416","",""
"    60 to 64 years","338,081","±7,081","48,285","±2,690","470,981","±9,256","199,839","±5,344","2,353,557","±21,633","358,170","±8,297","258,292","±6,231","78,402","±3,652","31,397","±2,479","1,598,019","±16,843","693,397","±11,606","89,997","±3,201","123,535","±3,800","820,471","±12,814","437,865","±9,070","212,956","±4,856","187,617","±5,457","298,235","±7,232","296,262","±7,222","112,411","±4,290","418,632","±8,979","480,367","±8,311","692,548","±10,244","387,464","±6,244","196,504","±5,070","414,189","±7,513","75,858","±3,499","120,555","±4,039","207,772","±6,652","113,497","±4,182","617,792","±10,060","137,491","±4,588","1,341,974","±17,614","712,932","±11,650","48,141","±2,507","808,463","±11,435","251,296","±4,278","259,520","±6,597","897,859","±12,373","76,162","±4,000","382,202","±7,763","62,221","±3,610","457,600","±9,777","1,716,681","±18,717","153,092","±4,696","50,559","±2,297","570,944","±10,220","475,653","±9,044","123,949","±4,248","429,894","±6,879","38,885","±2,507","",""
"    65 to 69 years","308,640","±6,572","37,683","±2,228","446,202","±8,944","174,951","±4,987","2,060,536","±19,730","319,836","±7,011","227,182","±5,423","75,197","±3,276","27,028","±2,049","1,470,314","±16,497","570,466","±9,029","90,260","±3,571","109,538","±3,783","737,385","±10,413","395,194","±7,832","188,105","±4,616","168,867","±4,406","273,497","±5,831","269,672","±6,467","101,584","±4,155","351,727","±6,179","429,466","±7,766","638,629","±9,412","332,844","±6,646","172,857","±5,993","368,280","±6,908","74,436","±3,142","106,667","±3,480","177,331","±5,687","105,797","±3,365","545,682","±8,670","124,503","±4,679","1,173,791","±13,943","631,278","±11,327","43,965","±2,176","727,828","±9,061","229,299","±4,349","249,734","±6,531","825,524","±9,352","68,275","±3,124","343,669","±8,061","56,491","±2,769","408,329","±9,549","1,461,555","±16,610","145,297","±4,027","45,485","±2,277","493,723","±8,730","434,151","±7,148","121,712","±4,251","379,846","±5,955","36,575","±2,326","",""
"    70 to 74 years","253,332","±6,246","32,900","±2,348","380,096","±9,408","152,572","±5,257","1,691,506","±19,546","270,872","±6,721","179,587","±5,384","60,775","±3,344","23,822","±1,982","1,280,438","±15,244","483,421","±9,383","77,127","±3,655","103,308","±3,788","586,149","±10,542","326,891","±6,935","166,859","±4,380","144,613","±4,356","220,019","±5,629","227,173","±6,445","92,287","±4,126","285,727","±6,173","340,833","±7,389","542,613","±9,169","285,549","±6,512","144,619","±5,653","316,968","±7,386","70,819","±2,907","97,031","±3,479","160,880","±5,710","75,217","±3,289","434,423","±8,755","122,883","±4,618","955,918","±13,946","532,540","±11,565","36,185","±2,089","608,572","±9,377","178,472","±4,492","244,691","±6,377","713,894","±8,862","59,284","±3,159","298,167","±7,532","50,574","±2,822","347,224","±9,157","1,169,299","±15,524","116,269","±3,834","41,985","±2,390","408,091","±8,546","378,115","±7,425","102,972","±4,095","319,277","±5,518","35,370","±2,353","",""
"    75 years and over","393,194","±2,591","38,832","±1,207","664,860","±2,126","235,184","±2,274","2,772,819","±3,495","389,656","±2,466","306,568","±2,251","91,852","±937","39,824","±716","2,343,601","±4,682","711,716","±3,863","143,918","±775","142,705","±1,288","951,048","±2,603","496,316","±2,609","257,639","±1,571","220,294","±2,257","332,334","±2,057","323,019","±3,292","136,055","±715","462,298","±2,473","565,643","±1,853","806,617","±2,164","437,880","±1,652","213,871","±2,304","483,953","±2,280","96,168","±1,094","144,354","±1,387","237,140","±1,208","122,218","±1,239","726,560","±2,672","181,847","±2,274","1,627,464","±2,505","816,872","±3,758","60,145","±1,190","934,997","±3,119","284,310","±1,727","355,792","±2,346","1,126,556","±3,107","92,609","±1,215","440,888","±2,298","68,837","±1,088","518,426","±2,637","1,734,615","±5,105","173,356","±1,666","61,015","±1,000","648,571","±3,776","566,242","±2,876","162,167","±1,455","471,919","±1,975","45,428","±1,382","",""
"    Same house 1 year ago:","4,522,731","±18,695","622,887","±8,253","6,473,453","±31,875","2,687,292","±16,867","34,985,812","±67,068","5,058,843","±24,183","3,261,098","±17,238","932,951","±9,570","556,211","±10,712","20,076,577","±59,401","9,640,846","±37,108","1,260,590","±10,095","1,709,390","±12,094","11,298,568","±35,448","6,046,021","±21,375","2,831,622","±14,604","2,553,140","±12,681","3,993,519","±18,746","4,065,752","±21,806","1,251,760","±9,040","5,534,257","±26,396","6,309,815","±21,347","8,962,822","±26,623","5,082,484","±18,326","2,602,954","±18,938","5,433,723","±24,279","982,389","±9,341","1,718,022","±12,465","2,781,528","±23,944","1,254,492","±7,899","8,575,713","±26,027","1,871,433","±14,992","17,828,980","±38,180","9,589,067","±35,124","676,915","±9,599","10,375,783","±27,855","3,480,195","±18,962","3,685,601","±19,571","11,648,207","±32,831","978,646","±11,088","4,752,092","±23,146","799,010","±7,289","6,280,540","±24,165","26,654,934","±66,791","2,999,577","±18,511","571,489","±6,818","7,636,151","±27,075","6,796,582","±29,124","1,579,149","±10,667","5,257,352","±17,913","509,549","±6,391","",""
"        1 to 4 years","198,899","±6,353","30,114","±2,156","259,287","±8,176","120,791","±3,943","1,483,331","±15,779","208,444","±5,876","127,586","±4,199","40,927","±2,306","27,164","±2,288","781,593","±13,778","417,829","±8,670","51,593","±2,410","73,753","±2,713","463,552","±7,411","278,434","±5,798","135,749","±4,737","114,787","±3,887","177,617","±5,423","187,539","±6,270","41,556","±2,036","245,332","±6,595","248,229","±5,982","366,920","±5,956","222,405","±4,677","116,627","±4,527","236,151","±5,619","36,471","±2,085","80,418","±3,130","114,220","±4,295","44,066","±2,141","374,913","±7,095","67,725","±3,815","749,025","±11,391","416,268","±9,101","31,225","±2,175","454,214","±7,815","159,414","±4,061","139,084","±5,154","474,952","±6,938","36,979","±2,935","199,204","±5,955","38,696","±2,466","281,840","±7,606","1,345,210","±19,185","158,407","±4,011","19,371","±1,427","325,140","±7,213","282,550","±6,915","61,589","±3,275","214,837","±4,618","19,981","±1,296","",""
"        5 to 17 years","766,688","±9,631","112,217","±3,493","1,062,603","±9,968","466,299","±7,082","5,809,588","±23,393","807,005","±9,623","504,154","±6,360","147,104","±3,104","80,124","±3,825","2,945,005","±22,770","1,695,551","±14,761","194,995","±3,775","323,790","±4,185","1,880,103","±9,608","1,067,373","±9,653","494,785","±5,661","468,064","±5,380","679,878","±7,681","712,105","±10,702","170,487","±3,037","925,534","±8,704","934,423","±7,312","1,438,880","±9,868","889,654","±7,159","454,276","±8,889","923,393","±8,464","162,872","±2,830","324,253","±4,459","458,119","±8,173","170,175","±4,013","1,414,008","±7,935","306,589","±6,214","2,733,749","±12,093","1,565,308","±13,877","119,613","±3,764","1,735,739","±12,207","632,074","±6,611","571,510","±6,282","1,807,833","±10,951","139,199","±4,540","762,923","±9,770","148,741","±3,540","1,045,388","±10,386","5,053,401","±23,683","646,127","±7,703","79,098","±1,957","1,259,683","±10,973","1,099,360","±10,066","237,172","±4,380","856,541","±6,308","88,951","±2,831","",""
"        18 and 19 years","112,678","±5,772","14,007","±1,740","154,040","±4,872","63,713","±3,717","898,173","±8,880","110,518","±4,802","81,578","±3,837","20,068","±2,249","8,215","±2,024","418,458","±7,582","244,416","±7,726","23,745","±1,873","37,813","±2,526","261,249","±5,296","136,388","±4,254","61,758","±3,421","60,645","±3,117","92,647","±4,095","94,780","±4,696","26,470","±1,829","128,644","±3,854","159,584","±4,882","196,512","±5,220","113,483","±3,584","70,320","±5,588","117,741","±4,329","19,611","±1,880","38,712","±2,910","60,849","±2,305","30,706","±2,143","196,046","±5,057","45,744","±3,186","397,744","±5,983","219,743","±7,400","15,818","±2,020","222,299","±6,063","82,555","±3,350","76,315","±3,818","279,875","±5,114","26,155","±2,518","111,484","±4,990","17,600","±2,177","134,188","±4,877","693,083","±11,153","78,967","±3,588","13,583","±2,154","182,397","±5,889","137,657","±4,688","32,494","±2,665","107,701","±4,318","10,879","±1,905","",""
"        20 to 24 years","246,714","±6,026","34,945","±2,922","373,926","±8,330","146,492","±6,909","2,050,655","±16,158","256,565","±8,667","189,839","±5,871","45,138","±3,153","28,184","±2,769","1,019,768","±14,854","554,788","±11,455","60,786","±3,545","92,356","±4,125","653,913","±10,729","328,593","±8,219","150,583","±5,497","139,179","±5,415","210,853","±6,626","221,334","±7,668","57,663","±2,735","294,653","±7,422","385,538","±6,235","489,191","±7,958","257,628","±8,001","151,470","±5,636","292,280","±8,310","45,115","±3,324","90,150","±4,342","141,854","±5,220","66,107","±3,294","492,417","±7,350","112,297","±5,645","1,008,779","±11,525","536,510","±13,418","35,860","±3,499","519,284","±9,267","193,795","±5,629","172,774","±6,390","619,373","±10,060","55,762","±3,799","248,725","±8,533","36,944","±2,975","355,354","±9,276","1,575,701","±19,870","195,519","±6,384","28,192","±2,706","418,078","±9,131","345,133","±7,807","81,410","±3,684","267,380","±6,297","20,168","±1,941","",""
"        25 to 29 years","246,305","±6,336","40,127","±2,533","377,502","±8,973","154,432","±5,367","2,130,775","±17,536","307,759","±7,388","179,691","±5,203","45,763","±2,743","47,431","±3,150","1,033,921","±12,693","565,306","±10,533","70,572","±2,653","91,871","±3,957","653,041","±10,570","349,729","±7,882","156,236","±4,952","142,853","±4,678","228,355","±5,663","226,535","±5,978","65,874","±2,811","293,663","±5,802","366,197","±7,367","502,104","±7,703","272,368","±5,148","139,403","±6,180","300,127","±7,328","47,067","±2,675","94,969","±3,337","164,122","±5,565","63,110","±2,705","476,686","±8,115","99,747","±4,706","1,079,039","±11,204","544,084","±10,451","43,593","±3,404","580,722","±8,441","200,830","±4,843","203,081","±5,287","610,344","±9,513","55,150","±2,847","247,147","±7,234","43,649","±2,987","355,799","±7,265","1,599,665","±21,475","203,588","±5,985","26,514","±1,621","415,696","±7,914","408,524","±8,588","85,392","±3,771","291,787","±4,705","26,832","±2,166","",""
"        30 to 34 years","285,880","±6,537","45,151","±2,544","421,450","±8,122","164,490","±5,272","2,495,560","±15,086","386,744","±7,684","196,022","±5,278","54,989","±2,612","58,599","±2,843","1,231,759","±15,143","642,735","±11,940","77,846","±2,575","106,303","±3,615","742,722","±8,846","401,154","±6,784","173,514","±4,508","156,054","±4,070","257,980","±5,182","269,129","±7,950","73,362","±2,820","351,831","±5,499","417,080","±6,159","591,282","±6,462","323,511","±4,928","158,752","±4,660","347,481","±6,064","59,227","±2,245","110,251","±3,830","202,248","±4,907","80,305","±2,773","544,104","±7,658","118,794","±3,925","1,221,512","±10,898","628,226","±10,619","49,586","±2,422","669,798","±8,004","223,761","±5,066","242,618","±5,424","736,138","±7,952","65,273","±2,742","300,496","±6,320","47,815","±2,685","427,036","±7,212","1,841,006","±15,881","211,723","±4,693","32,372","±1,445","485,688","±8,449","508,129","±7,661","93,076","±3,010","322,230","±5,113","31,182","±2,226","",""
