State,Total Students,Number_Male,Percent_Male,Number_Female,Percent_Female,Number_American Indian or Alaska Native,"Percent_American Indian or
Alaska Native",Number_Asian,Percent_Asian,Number_Hispanic or Latino of any race,Percent_Hispanic or Latino of any race,Number_Black or African American,Percent_Black or African American,Number_White,Percent_White,Number_Native Hawaiian or Other Pacific Islander,Percent_Native Hawaiian or Other Pacific Islander,Number_Two or more races,Percent_Two or more races,Number_Students With Disabilities Served Under IDEA,Percent_Students With Disabilities Served Under IDEA,Number_Students With Disabilities Served Only Under Section 504,Percent_Students With Disabilities Served Only Under Section 504,Number_English Language Learners,Percent_English Language Learners,Number of Schools,Percent of Schools Reporting,Grade,Academic Year
"50 states, District of Columbia, and Puerto Rico","92,025.00","56,225.00",0.61,"35,800.00",0.39,"1,852.00",2.00,"1,973.00",2.10,"20,524.00",22.30,"17,338.00",18.80,"45,636.00",49.60,280.00,0.30,"4,422.00",4.80,"20,761.00",22.60,833.00,0.90,"12,026.00",13.10,"25,414.00",100.00,K,2017-2018
United States,"92,025.00","56,225.00",0.61,"35,800.00",0.39,"1,852.00",2.00,"1,973.00",2.10,"20,524.00",22.30,"17,338.00",18.80,"45,636.00",49.60,280.00,0.30,"4,422.00",4.80,"20,761.00",22.60,833.00,0.90,"12,026.00",13.10,"25,414.00",100.00,K,2017-2018
Alabama,"2,693.00","1,686.00",0.63,"1,007.00",0.37,35.00,1.30,21.00,0.80,254.00,9.40,593.00,22.00,"1,753.00",65.10,2.00,0.10,35.00,1.30,535.00,19.90,24.00,0.90,195.00,7.20,499.00,100.00,K,2017-2018
Alaska,96.00,62.00,0.65,34.00,0.35,52.00,54.20,0.00,0.00,2.00,2.10,1.00,1.00,33.00,34.40,1.00,1.00,7.00,7.30,24.00,25.00,0.00,0.00,19.00,19.80,60.00,100.00,K,2017-2018
Arizona,"1,439.00",860.00,0.60,579.00,0.40,105.00,7.30,19.00,1.30,647.00,45.00,64.00,4.40,549.00,38.20,4.00,0.30,51.00,3.50,241.00,16.70,8.00,0.60,192.00,13.30,543.00,100.00,K,2017-2018
Arkansas,"1,699.00","1,067.00",0.63,632.00,0.37,12.00,0.70,8.00,0.50,211.00,12.40,404.00,23.80,"1,009.00",59.40,31.00,1.80,24.00,1.40,513.00,30.20,43.00,2.50,191.00,11.20,383.00,100.00,K,2017-2018
California,"7,212.00","4,217.00",0.58,"2,995.00",0.42,76.00,1.10,694.00,9.60,"3,815.00",52.90,308.00,4.30,"1,884.00",26.10,32.00,0.40,403.00,5.60,911.00,12.60,31.00,0.40,"2,236.00",31.00,"2,109.00",100.00,K,2017-2018
Colorado,"1,124.00",762.00,0.68,362.00,0.32,10.00,0.90,17.00,1.50,376.00,33.50,38.00,3.40,642.00,57.10,1.00,0.10,40.00,3.60,84.00,7.50,7.00,0.60,145.00,12.90,528.00,100.00,K,2017-2018
Connecticut,"1,149.00",674.00,0.59,475.00,0.41,6.00,0.50,37.00,3.20,410.00,35.70,187.00,16.30,473.00,41.20,0.00,0.00,36.00,3.10,285.00,24.80,20.00,1.70,231.00,20.10,360.00,100.00,K,2017-2018
Delaware,225.00,138.00,0.61,87.00,0.39,0.00,0.00,5.00,2.20,74.00,32.90,61.00,27.10,78.00,34.70,0.00,0.00,7.00,3.10,44.00,19.60,1.00,0.40,61.00,27.10,78.00,100.00,K,2017-2018
District of Columbia,136.00,82.00,0.60,54.00,0.40,0.00,0.00,2.00,1.50,27.00,19.90,97.00,71.30,10.00,7.40,0.00,0.00,0.00,0.00,29.00,21.30,0.00,0.00,25.00,18.40,64.00,100.00,K,2017-2018
Florida,"6,438.00","3,910.00",0.61,"2,528.00",0.39,26.00,0.40,45.00,0.70,"1,757.00",27.30,"1,743.00",27.10,"2,556.00",39.70,5.00,0.10,306.00,4.80,"1,888.00",29.30,82.00,1.30,944.00,14.70,"1,417.00",100.00,K,2017-2018
Georgia,"4,699.00","2,901.00",0.62,"1,798.00",0.38,7.00,0.10,65.00,1.40,906.00,19.30,"1,547.00",32.90,"1,939.00",41.30,4.00,0.10,231.00,4.90,"1,142.00",24.30,45.00,1.00,772.00,16.40,"1,011.00",100.00,K,2017-2018
Hawaii,187.00,120.00,0.64,67.00,0.36,0.00,0.00,7.00,3.70,53.00,28.30,0.00,0.00,18.00,9.60,70.00,37.40,39.00,20.90,24.00,12.80,1.00,0.50,23.00,12.30,91.00,100.00,K,2017-2018
Idaho,204.00,142.00,0.70,62.00,0.30,7.00,3.40,4.00,2.00,45.00,22.10,1.00,0.50,138.00,67.60,0.00,0.00,9.00,4.40,34.00,16.70,6.00,2.90,32.00,15.70,147.00,100.00,K,2017-2018
Illinois,"1,241.00",740.00,0.60,501.00,0.40,2.00,0.20,17.00,1.40,118.00,9.50,293.00,23.60,744.00,60.00,0.00,0.00,67.00,5.40,231.00,18.60,4.00,0.30,72.00,5.80,551.00,100.00,K,2017-2018
