State,Total Students,Number_Male,Percent_Male,Number_Female,Percent_Female,Number_American Indian or Alaska Native,"Percent_American Indian or
Alaska Native",Number_Asian,Percent_Asian,Number_Hispanic or Latino of any race,Percent_Hispanic or Latino of any race,Number_Black or African American,Percent_Black or African American,Number_White,Percent_White,Number_Native Hawaiian or Other Pacific Islander,Percent_Native Hawaiian or Other Pacific Islander,Number_Two or more races,Percent_Two or more races,Number_Students With Disabilities Served Under IDEA,Percent_Students With Disabilities Served Under IDEA,Number_Students With Disabilities Served Only Under Section 504,Percent_Students With Disabilities Served Only Under Section 504,Number_English Language Learners,Percent_English Language Learners,Number of Schools,Percent of Schools Reporting,Grade,Academic Year
Indiana,"3,259.00","2,073.00",0.64,"1,186.00",0.36,12.00,0.40,22.00,0.70,310.00,9.50,379.00,11.60,"2,366.00",72.60,0.00,0.00,170.00,5.20,785.00,24.10,14.00,0.40,144.00,4.40,719.00,100.00,K,2017-2018
Iowa,"3,324.00","2,061.00",0.62,"1,263.00",0.38,9.00,0.30,34.00,1.00,380.00,11.40,83.00,2.50,"2,685.00",80.80,10.00,0.30,123.00,3.70,586.00,17.60,11.00,0.30,293.00,8.80,504.00,100.00,K,2017-2018
Kansas,558.00,346.00,0.62,212.00,0.38,9.00,1.60,8.00,1.40,113.00,20.30,25.00,4.50,370.00,66.30,0.00,0.00,33.00,5.90,149.00,26.70,9.00,1.60,72.00,12.90,245.00,100.00,K,2017-2018
Kentucky,"1,985.00","1,177.00",0.59,808.00,0.41,2.00,0.10,7.00,0.40,110.00,5.50,72.00,3.60,"1,721.00",86.70,3.00,0.20,70.00,3.50,876.00,44.10,3.00,0.20,73.00,3.70,443.00,100.00,K,2017-2018
Louisiana,"2,079.00","1,296.00",0.62,783.00,0.38,8.00,0.40,21.00,1.00,149.00,7.20,907.00,43.60,924.00,44.40,1.00,0.00,69.00,3.30,416.00,20.00,12.00,0.60,96.00,4.60,466.00,100.00,K,2017-2018
Maine,398.00,272.00,0.68,126.00,0.32,9.00,2.30,6.00,1.50,15.00,3.80,12.00,3.00,346.00,86.90,0.00,0.00,10.00,2.50,107.00,26.90,7.00,1.80,14.00,3.50,147.00,100.00,K,2017-2018
Maryland,762.00,485.00,0.64,277.00,0.36,0.00,0.00,21.00,2.80,182.00,23.90,338.00,44.40,202.00,26.50,1.00,0.10,18.00,2.40,164.00,21.50,11.00,1.40,95.00,12.50,356.00,100.00,K,2017-2018
Massachusetts,"1,044.00",669.00,0.64,375.00,0.36,4.00,0.40,43.00,4.10,323.00,30.90,153.00,14.70,443.00,42.40,1.00,0.10,77.00,7.40,355.00,34.00,17.00,1.60,302.00,28.90,399.00,100.00,K,2017-2018
Michigan,"4,819.00","2,862.00",0.59,"1,957.00",0.41,39.00,0.80,95.00,2.00,391.00,8.10,762.00,15.80,"3,269.00",67.80,6.00,0.10,257.00,5.30,697.00,14.50,14.00,0.30,416.00,8.60,968.00,100.00,K,2017-2018
Minnesota,543.00,335.00,0.62,208.00,0.38,22.00,4.10,33.00,6.10,56.00,10.30,53.00,9.80,322.00,59.30,2.00,0.40,55.00,10.10,152.00,28.00,3.00,0.60,71.00,13.10,252.00,100.00,K,2017-2018
Mississippi,"3,209.00","1,941.00",0.60,"1,268.00",0.40,12.00,0.40,17.00,0.50,199.00,6.20,"1,586.00",49.40,"1,329.00",41.40,4.00,0.10,62.00,1.90,590.00,18.40,3.00,0.10,163.00,5.10,358.00,100.00,K,2017-2018
Missouri,"1,271.00",839.00,0.66,432.00,0.34,3.00,0.20,10.00,0.80,97.00,7.60,225.00,17.70,882.00,69.40,8.00,0.60,46.00,3.60,342.00,26.90,15.00,1.20,88.00,6.90,493.00,100.00,K,2017-2018
Montana,285.00,188.00,0.66,97.00,0.34,53.00,18.60,3.00,1.10,15.00,5.30,2.00,0.70,196.00,68.80,0.00,0.00,16.00,5.60,56.00,19.60,0.00,0.00,6.00,2.10,110.00,100.00,K,2017-2018
Nebraska,273.00,168.00,0.62,105.00,0.38,10.00,3.70,5.00,1.80,59.00,21.60,8.00,2.90,185.00,67.80,1.00,0.40,5.00,1.80,74.00,27.10,4.00,1.50,39.00,14.30,151.00,100.00,K,2017-2018
Nevada,816.00,474.00,0.58,342.00,0.42,7.00,0.90,21.00,2.60,352.00,43.10,138.00,16.90,238.00,29.20,5.00,0.60,55.00,6.70,133.00,16.30,8.00,1.00,173.00,21.20,268.00,100.00,K,2017-2018
New Hampshire,253.00,175.00,0.69,78.00,0.31,0.00,0.00,4.00,1.60,13.00,5.10,8.00,3.20,221.00,87.40,0.00,0.00,7.00,2.80,85.00,33.60,5.00,2.00,4.00,1.60,107.00,100.00,K,2017-2018
New Jersey,"1,877.00","1,100.00",0.59,777.00,0.41,4.00,0.20,84.00,4.50,824.00,43.90,361.00,19.20,528.00,28.10,4.00,0.20,72.00,3.80,257.00,13.70,37.00,2.00,374.00,19.90,624.00,100.00,K,2017-2018
New Mexico,774.00,474.00,0.61,300.00,0.39,108.00,14.00,3.00,0.40,470.00,60.70,16.00,2.10,161.00,20.80,1.00,0.10,15.00,1.90,193.00,24.90,3.00,0.40,155.00,20.00,244.00,100.00,K,2017-2018
New York,"4,078.00","2,472.00",0.61,"1,606.00",0.39,39.00,1.00,142.00,3.50,"1,510.00",37.00,947.00,23.20,"1,286.00",31.50,7.00,0.20,147.00,3.60,932.00,22.90,50.00,1.20,670.00,16.40,"1,269.00",100.00,K,2017-2018
North Carolina,"4,021.00","2,441.00",0.61,"1,580.00",0.39,93.00,2.30,49.00,1.20,783.00,19.50,"1,254.00",31.20,"1,604.00",39.90,6.00,0.10,232.00,5.80,850.00,21.10,4.00,0.10,543.00,13.50,"1,110.00",100.00,K,2017-2018
North Dakota,289.00,173.00,0.60,116.00,0.40,71.00,24.60,3.00,1.00,14.00,4.80,16.00,5.50,181.00,62.60,0.00,0.00,4.00,1.40,69.00,23.90,1.00,0.30,14.00,4.80,113.00,100.00,K,2017-2018
Ohio,"4,325.00","2,506.00",0.58,"1,819.00",0.42,4.00,0.10,45.00,1.00,339.00,7.80,"1,090.00",25.20,"2,571.00",59.40,6.00,0.10,270.00,6.20,713.00,16.50,16.00,0.40,274.00,6.30,"1,034.00",100.00,K,2017-2018
Oklahoma,"4,455.00","2,584.00",0.58,"1,871.00",0.42,814.00,18.30,47.00,1.10,414.00,9.30,337.00,7.60,"2,300.00",51.60,30.00,0.70,513.00,11.50,"1,324.00",29.70,50.00,1.10,391.00,8.80,746.00,100.00,K,2017-2018
Oregon,362.00,222.00,0.61,140.00,0.39,9.00,2.50,6.00,1.70,61.00,16.90,7.00,1.90,250.00,69.10,1.00,0.30,28.00,7.70,101.00,27.90,7.00,1.90,25.00,6.90,193.00,100.00,K,2017-2018
Pennsylvania,"2,242.00","1,382.00",0.62,860.00,0.38,6.00,0.30,25.00,1.10,274.00,12.20,476.00,21.20,"1,305.00",58.20,3.00,0.10,153.00,6.80,619.00,27.60,33.00,1.50,92.00,4.10,715.00,100.00,K,2017-2018
Rhode Island,153.00,103.00,0.67,50.00,0.33,0.00,0.00,2.00,1.30,53.00,34.60,14.00,9.20,77.00,50.30,0.00,0.00,7.00,4.60,60.00,39.20,2.00,1.30,24.00,15.70,64.00,100.00,K,2017-2018
South Carolina,"1,653.00","1,052.00",0.64,601.00,0.36,4.00,0.20,16.00,1.00,117.00,7.10,632.00,38.20,796.00,48.20,2.00,0.10,86.00,5.20,526.00,31.80,9.00,0.50,103.00,6.20,459.00,100.00,K,2017-2018
South Dakota,332.00,193.00,0.58,139.00,0.42,83.00,25.00,3.00,0.90,55.00,16.60,12.00,3.60,154.00,46.40,0.00,0.00,25.00,7.50,78.00,23.50,5.00,1.50,41.00,12.30,119.00,100.00,K,2017-2018
Tennessee,"2,430.00","1,501.00",0.62,929.00,0.38,3.00,0.10,22.00,0.90,155.00,6.40,692.00,28.50,"1,499.00",61.70,2.00,0.10,57.00,2.30,434.00,17.90,14.00,0.60,127.00,5.20,619.00,100.00,K,2017-2018
Texas,"6,383.00","4,026.00",0.63,"2,357.00",0.37,21.00,0.30,114.00,1.80,"3,180.00",49.80,585.00,9.20,"2,256.00",35.30,12.00,0.20,215.00,3.40,"1,596.00",25.00,152.00,2.40,"1,392.00",21.80,"2,274.00",100.00,K,2017-2018
Utah,219.00,150.00,0.68,69.00,0.32,0.00,0.00,2.00,0.90,25.00,11.40,0.00,0.00,180.00,82.20,3.00,1.40,9.00,4.10,57.00,26.00,4.00,1.80,6.00,2.70,141.00,100.00,K,2017-2018
Vermont,114.00,74.00,0.65,40.00,0.35,1.00,0.90,2.00,1.80,5.00,4.40,0.00,0.00,99.00,86.80,0.00,0.00,7.00,6.10,51.00,44.70,0.00,0.00,8.00,7.00,58.00,100.00,K,2017-2018
Virginia,"2,325.00","1,438.00",0.62,887.00,0.38,6.00,0.30,77.00,3.30,374.00,16.10,680.00,29.20,"1,072.00",46.10,2.00,0.10,114.00,4.90,671.00,28.90,17.00,0.70,355.00,15.30,775.00,100.00,K,2017-2018
Washington,"1,040.00",664.00,0.64,376.00,0.36,24.00,2.30,22.00,2.10,295.00,28.40,21.00,2.00,589.00,56.60,9.00,0.90,80.00,7.70,250.00,24.00,7.00,0.70,194.00,18.70,446.00,100.00,K,2017-2018
West Virginia,900.00,549.00,0.61,351.00,0.39,0.00,0.00,4.00,0.40,15.00,1.70,43.00,4.80,800.00,88.90,0.00,0.00,38.00,4.20,192.00,21.30,12.00,1.30,8.00,0.90,275.00,100.00,K,2017-2018
Wisconsin,379.00,248.00,0.65,131.00,0.35,5.00,1.30,12.00,3.20,74.00,19.50,63.00,16.60,210.00,55.40,0.00,0.00,15.00,4.00,150.00,39.60,2.00,0.50,33.00,8.70,247.00,100.00,K,2017-2018
Wyoming,254.00,151.00,0.59,103.00,0.41,20.00,7.90,2.00,0.80,28.00,11.00,4.00,1.60,193.00,76.00,0.00,0.00,7.00,2.80,86.00,33.90,0.00,0.00,10.00,3.90,62.00,100.00,K,2017-2018
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,2017-2018
"50 states, District of Columbia, and Puerto Rico","137,998.00","83,213.00",0.60,"54,785.00",0.40,"2,215.00",1.60,"4,926.00",3.60,"46,036.00",33.40,"30,818.00",22.30,"49,506.00",35.90,443.00,0.30,"4,054.00",2.90,"50,623.00",36.70,"3,811.00",2.80,"17,568.00",12.70,"12,085.00",100.00,12,2017-2018
United States,"137,975.00","83,200.00",0.60,"54,775.00",0.40,"2,215.00",0.02,"4,926.00",0.04,"46,013.00",0.33,"30,818.00",0.22,"49,506.00",0.36,443.00,0.0032,"4,054.00",0.03,"50,620.00",0.37,"3,811.00",0.03,"17,568.00",0.13,"12,062.00",100.00,12,2017-2018
Alabama,"1,624.00",986.00,0.61,638.00,0.39,14.00,0.90,13.00,0.80,99.00,6.10,972.00,59.90,515.00,31.70,1.00,0.10,10.00,0.60,476.00,29.30,22.00,1.40,56.00,3.40,195.00,100.00,12,2017-2018
Alaska,785.00,486.00,0.62,299.00,0.38,215.00,27.40,52.00,6.60,86.00,11.00,56.00,7.10,246.00,31.30,29.00,3.70,101.00,12.90,335.00,42.70,17.00,2.20,132.00,16.80,83.00,100.00,12,2017-2018
Arizona,"5,738.00","3,475.00",0.61,"2,263.00",0.39,514.00,9.00,79.00,1.40,"3,267.00",56.90,402.00,7.00,"1,337.00",23.30,18.00,0.30,121.00,2.10,"1,207.00",21.00,95.00,1.70,391.00,6.80,219.00,100.00,12,2017-2018
Arkansas,422.00,262.00,0.62,160.00,0.38,2.00,0.50,5.00,1.20,60.00,14.20,124.00,29.40,213.00,50.50,9.00,2.10,9.00,2.10,50.00,11.80,26.00,6.20,51.00,12.10,131.00,100.00,12,2017-2018
California,"11,985.00","7,161.00",0.60,"4,824.00",0.40,116.00,1.00,727.00,6.10,"7,412.00",61.80,"1,286.00",10.70,"2,080.00",17.40,62.00,0.50,302.00,2.50,"4,616.00",38.50,186.00,1.60,"3,515.00",29.30,858.00,100.00,12,2017-2018
Colorado,"5,980.00","3,389.00",0.57,"2,591.00",0.43,90.00,1.50,104.00,1.70,"2,655.00",44.40,379.00,6.30,"2,533.00",42.40,17.00,0.30,202.00,3.40,577.00,9.60,164.00,2.70,943.00,15.80,349.00,100.00,12,2017-2018
Connecticut,"1,234.00",839.00,0.68,395.00,0.32,2.00,0.20,49.00,4.00,371.00,30.10,239.00,19.40,546.00,44.20,3.00,0.20,24.00,1.90,797.00,64.60,55.00,4.50,126.00,10.20,184.00,100.00,12,2017-2018
Delaware,241.00,166.00,0.69,75.00,0.31,2.00,0.80,4.00,1.70,36.00,14.90,91.00,37.80,103.00,42.70,1.00,0.40,4.00,1.70,186.00,77.20,1.00,0.40,9.00,3.70,29.00,100.00,12,2017-2018
District of Columbia,201.00,128.00,0.64,73.00,0.36,0.00,0.00,1.00,0.50,32.00,15.90,160.00,79.60,6.00,3.00,0.00,0.00,2.00,1.00,65.00,32.30,3.00,1.50,24.00,11.90,24.00,100.00,12,2017-2018
Florida,"10,310.00","6,432.00",0.62,"3,878.00",0.38,48.00,0.50,119.00,1.20,"3,259.00",31.60,"3,878.00",37.60,"2,722.00",26.40,14.00,0.10,270.00,2.60,"2,561.00",24.80,320.00,3.10,"1,042.00",10.10,624.00,100.00,12,2017-2018
Georgia,"4,308.00","2,626.00",0.61,"1,682.00",0.39,7.00,0.20,171.00,4.00,779.00,18.10,"1,796.00",41.70,"1,404.00",32.60,5.00,0.10,146.00,3.40,"2,045.00",47.50,111.00,2.60,310.00,7.20,405.00,100.00,12,2017-2018
Hawaii,64.00,38.00,0.59,26.00,0.41,1.00,1.60,18.00,28.10,5.00,7.80,0.00,0.00,11.00,17.20,26.00,40.60,3.00,4.70,31.00,48.40,0.00,0.00,6.00,9.40,34.00,100.00,12,2017-2018
Idaho,712.00,417.00,0.59,295.00,0.41,12.00,1.70,6.00,0.80,187.00,26.30,4.00,0.60,473.00,66.40,4.00,0.60,26.00,3.70,124.00,17.40,45.00,6.30,35.00,4.90,87.00,100.00,12,2017-2018
Illinois,"6,027.00","3,830.00",0.64,"2,197.00",0.36,30.00,0.50,238.00,3.90,"1,795.00",29.80,"1,517.00",25.20,"2,267.00",37.60,4.00,0.10,176.00,2.90,"3,395.00",56.30,128.00,2.10,479.00,7.90,522.00,100.00,12,2017-2018
Indiana,"1,448.00",876.00,0.60,572.00,0.40,2.00,0.10,25.00,1.70,182.00,12.60,203.00,14.00,964.00,66.60,0.00,0.00,72.00,5.00,602.00,41.60,40.00,2.80,117.00,8.10,151.00,100.00,12,2017-2018
Iowa,"1,952.00","1,138.00",0.58,814.00,0.42,15.00,0.80,54.00,2.80,345.00,17.70,196.00,10.00,"1,252.00",64.10,14.00,0.70,76.00,3.90,895.00,45.90,39.00,2.00,196.00,10.00,272.00,100.00,12,2017-2018
Kansas,669.00,409.00,0.61,260.00,0.39,13.00,1.90,31.00,4.60,235.00,35.10,102.00,15.20,260.00,38.90,1.00,0.10,27.00,4.00,163.00,24.40,9.00,1.30,126.00,18.80,85.00,100.00,12,2017-2018
Kentucky,870.00,525.00,0.60,345.00,0.40,1.00,0.10,5.00,0.60,61.00,7.00,136.00,15.60,639.00,73.40,1.00,0.10,27.00,3.10,109.00,12.50,8.00,0.90,14.00,1.60,151.00,100.00,12,2017-2018
Louisiana,"1,435.00",834.00,0.58,601.00,0.42,8.00,0.60,21.00,1.50,128.00,8.90,790.00,55.10,472.00,32.90,1.00,0.10,15.00,1.00,482.00,33.60,69.00,4.80,114.00,7.90,200.00,100.00,12,2017-2018
Maine,386.00,249.00,0.65,137.00,0.35,1.00,0.30,3.00,0.80,10.00,2.60,39.00,10.10,325.00,84.20,0.00,0.00,8.00,2.10,154.00,39.90,23.00,6.00,33.00,8.50,56.00,100.00,12,2017-2018
Maryland,"3,696.00","2,363.00",0.64,"1,333.00",0.36,12.00,0.30,127.00,3.40,806.00,21.80,"1,939.00",52.50,731.00,19.80,2.00,0.10,79.00,2.10,"1,345.00",36.40,121.00,3.30,177.00,4.80,218.00,100.00,12,2017-2018
Massachusetts,"1,259.00",738.00,0.59,521.00,0.41,3.00,0.20,57.00,4.50,434.00,34.50,200.00,15.90,496.00,39.40,1.00,0.10,68.00,5.40,469.00,37.30,67.00,5.30,192.00,15.30,224.00,100.00,12,2017-2018
Michigan,"3,723.00","2,169.00",0.58,"1,554.00",0.42,31.00,0.80,81.00,2.20,276.00,7.40,860.00,23.10,"2,339.00",62.80,2.00,0.10,134.00,3.60,746.00,20.00,104.00,2.80,253.00,6.80,492.00,100.00,12,2017-2018
Minnesota,"3,422.00","2,001.00",0.58,"1,421.00",0.42,126.00,3.70,299.00,8.70,510.00,14.90,809.00,23.60,"1,549.00",45.30,3.00,0.10,126.00,3.70,"1,364.00",39.90,61.00,1.80,532.00,15.50,241.00,100.00,12,2017-2018
Mississippi,"1,041.00",616.00,0.59,425.00,0.41,2.00,0.20,7.00,0.70,45.00,4.30,801.00,76.90,182.00,17.50,1.00,0.10,3.00,0.30,109.00,10.50,4.00,0.40,31.00,3.00,158.00,100.00,12,2017-2018
Missouri,"1,419.00",907.00,0.64,512.00,0.36,9.00,0.60,24.00,1.70,111.00,7.80,323.00,22.80,906.00,63.80,5.00,0.40,41.00,2.90,733.00,51.70,33.00,2.30,58.00,4.10,247.00,100.00,12,2017-2018
Montana,68.00,46.00,0.68,22.00,0.32,11.00,16.20,1.00,1.50,5.00,7.40,1.00,1.50,48.00,70.60,0.00,0.00,2.00,2.90,21.00,30.90,2.00,2.90,1.00,1.50,25.00,100.00,12,2017-2018
Nebraska,"1,787.00","1,094.00",0.61,693.00,0.39,39.00,2.20,87.00,4.90,449.00,25.10,275.00,15.40,838.00,46.90,2.00,0.10,97.00,5.40,710.00,39.70,23.00,1.30,256.00,14.30,106.00,100.00,12,2017-2018
Nevada,353.00,235.00,0.67,118.00,0.33,8.00,2.30,15.00,4.20,113.00,32.00,101.00,28.60,82.00,23.20,8.00,2.30,26.00,7.40,182.00,51.60,4.00,1.10,59.00,16.70,60.00,100.00,12,2017-2018
New Hampshire,577.00,354.00,0.61,223.00,0.39,2.00,0.30,11.00,1.90,47.00,8.10,22.00,3.80,485.00,84.10,2.00,0.30,8.00,1.40,253.00,43.80,42.00,7.30,30.00,5.20,58.00,100.00,12,2017-2018
New Jersey,"2,054.00","1,377.00",0.67,677.00,0.33,4.00,0.20,103.00,5.00,666.00,32.40,479.00,23.30,775.00,37.70,2.00,0.10,25.00,1.20,"1,201.00",58.50,14.00,0.70,111.00,5.40,256.00,100.00,12,2017-2018
New Mexico,"1,327.00",755.00,0.57,572.00,0.43,176.00,13.30,8.00,0.60,833.00,62.80,31.00,2.30,253.00,19.10,1.00,0.10,25.00,1.90,230.00,17.30,31.00,2.30,217.00,16.40,115.00,100.00,12,2017-2018
New York,"11,138.00","6,937.00",0.62,"4,201.00",0.38,93.00,0.80,748.00,6.70,"4,484.00",40.30,"3,390.00",30.40,"2,279.00",20.50,50.00,0.40,94.00,0.80,"4,900.00",44.00,216.00,1.90,"2,772.00",24.90,933.00,100.00,12,2017-2018
North Carolina,"2,127.00","1,343.00",0.63,784.00,0.37,23.00,1.10,45.00,2.10,404.00,19.00,731.00,34.40,834.00,39.20,5.00,0.20,85.00,4.00,"1,105.00",52.00,38.00,1.80,187.00,8.80,379.00,100.00,12,2017-2018
North Dakota,197.00,117.00,0.59,80.00,0.41,8.00,4.10,8.00,4.10,17.00,8.60,32.00,16.20,129.00,65.50,1.00,0.50,2.00,1.00,69.00,35.00,5.00,2.50,13.00,6.60,28.00,100.00,12,2017-2018
Ohio,"2,913.00","1,701.00",0.58,"1,212.00",0.42,7.00,0.20,55.00,1.90,229.00,7.90,"1,058.00",36.30,"1,392.00",47.80,6.00,0.20,166.00,5.70,697.00,23.90,80.00,2.70,174.00,6.00,346.00,100.00,12,2017-2018
Oklahoma,"1,386.00",774.00,0.56,612.00,0.44,183.00,13.20,14.00,1.00,163.00,11.80,240.00,17.30,664.00,47.90,7.00,0.50,115.00,8.30,336.00,24.20,6.00,0.40,72.00,5.20,212.00,100.00,12,2017-2018
Oregon,"1,467.00",850.00,0.58,617.00,0.42,49.00,3.30,42.00,2.90,415.00,28.30,45.00,3.10,800.00,54.50,12.00,0.80,104.00,7.10,511.00,34.80,55.00,3.70,105.00,7.20,142.00,100.00,12,2017-2018
Pennsylvania,"4,452.00","2,811.00",0.63,"1,641.00",0.37,6.00,0.10,116.00,2.60,731.00,16.40,"1,178.00",26.50,"2,307.00",51.80,2.00,0.00,112.00,2.50,"2,317.00",52.00,64.00,1.40,275.00,6.20,491.00,100.00,12,2017-2018
Rhode Island,384.00,242.00,0.63,142.00,0.37,3.00,0.80,9.00,2.30,109.00,28.40,46.00,12.00,197.00,51.30,0.00,0.00,20.00,5.20,168.00,43.80,16.00,4.20,19.00,4.90,44.00,100.00,12,2017-2018
South Carolina,"1,153.00",725.00,0.63,428.00,0.37,6.00,0.50,8.00,0.70,66.00,5.70,506.00,43.90,528.00,45.80,1.00,0.10,38.00,3.30,619.00,53.70,24.00,2.10,38.00,3.30,174.00,100.00,12,2017-2018
South Dakota,305.00,179.00,0.59,126.00,0.41,39.00,12.80,3.00,1.00,26.00,8.50,21.00,6.90,201.00,65.90,0.00,0.00,15.00,4.90,67.00,22.00,9.00,3.00,13.00,4.30,32.00,100.00,12,2017-2018
Tennessee,"3,131.00","1,881.00",0.60,"1,250.00",0.40,6.00,0.20,78.00,2.50,515.00,16.40,"1,511.00",48.30,982.00,31.40,2.00,0.10,37.00,1.20,779.00,24.90,21.00,0.70,241.00,7.70,184.00,100.00,12,2017-2018
Texas,"17,637.00","10,034.00",0.57,"7,603.00",0.43,44.00,0.20,651.00,3.70,"10,342.00",58.60,"2,119.00",12.00,"4,155.00",23.60,21.00,0.10,305.00,1.70,"6,326.00",35.90,"1,004.00",5.70,"2,503.00",14.20,"1,002.00",100.00,12,2017-2018
Utah,"1,284.00",775.00,0.60,509.00,0.40,10.00,0.80,16.00,1.20,270.00,21.00,43.00,3.30,908.00,70.70,14.00,1.10,23.00,1.80,708.00,55.10,30.00,2.30,140.00,10.90,76.00,100.00,12,2017-2018
Vermont,127.00,67.00,0.53,60.00,0.47,0.00,0.00,13.00,10.20,6.00,4.70,6.00,4.70,99.00,78.00,0.00,0.00,3.00,2.40,54.00,42.50,9.00,7.10,17.00,13.40,24.00,100.00,12,2017-2018
Virginia,"2,680.00","1,706.00",0.64,974.00,0.36,4.00,0.10,134.00,5.00,586.00,21.90,771.00,28.80,"1,075.00",40.10,4.00,0.10,106.00,4.00,"1,593.00",59.40,32.00,1.20,437.00,16.30,317.00,100.00,12,2017-2018
