State,Total Students,Number_Male,Percent_Male,Number_Female,Percent_Female,Number_American Indian or Alaska Native,"Percent_American Indian or
Alaska Native",Number_Asian,Percent_Asian,Number_Hispanic or Latino of any race,Percent_Hispanic or Latino of any race,Number_Black or African American,Percent_Black or African American,Number_White,Percent_White,Number_Native Hawaiian or Other Pacific Islander,Percent_Native Hawaiian or Other Pacific Islander,Number_Two or more races,Percent_Two or more races,Number_Students With Disabilities Served Under IDEA,Percent_Students With Disabilities Served Under IDEA,Number_Students With Disabilities Served Only Under Section 504,Percent_Students With Disabilities Served Only Under Section 504,Number_English Language Learners,Percent_English Language Learners,Number of Schools,Percent of Schools Reporting,Grade,Academic Year
Indiana,397.00,225.00,0.57,172.00,0.43,0.00,0.00,4.00,1.00,87.00,21.90,83.00,20.90,200.00,50.40,0.00,0.00,23.00,5.80,75.00,18.90,4.00,1.00,7.00,1.80,50.00,100.00,10,2013-2014
Iowa,276.00,172.00,0.62,104.00,0.38,2.00,0.70,3.00,1.10,30.00,10.90,45.00,16.30,179.00,64.90,3.00,1.10,14.00,5.10,49.00,17.80,14.00,5.10,12.00,4.30,40.00,100.00,10,2013-2014
Kansas,593.00,355.00,0.60,238.00,0.40,16.00,2.70,10.00,1.70,192.00,32.40,129.00,21.80,224.00,37.80,2.00,0.30,20.00,3.40,87.00,14.70,7.00,1.20,106.00,17.90,63.00,100.00,10,2013-2014
Kentucky,"1,642.00","1,089.00",0.66,553.00,0.34,4.00,0.20,14.00,0.90,106.00,6.50,494.00,30.10,981.00,59.70,3.00,0.20,40.00,2.40,224.00,13.60,12.00,0.70,40.00,2.40,178.00,100.00,10,2013-2014
Louisiana,"2,172.00","1,390.00",0.64,782.00,0.36,8.00,0.40,9.00,0.40,106.00,4.90,"1,284.00",59.10,747.00,34.40,0.00,0.00,18.00,0.80,350.00,16.10,156.00,7.20,59.00,2.70,196.00,100.00,10,2013-2014
Maine,131.00,72.00,0.55,59.00,0.45,2.00,1.50,0.00,0.00,0.00,0.00,3.00,2.30,123.00,93.90,0.00,0.00,3.00,2.30,28.00,21.40,10.00,7.60,3.00,2.30,17.00,100.00,10,2013-2014
Maryland,"4,863.00","3,002.00",0.62,"1,861.00",0.38,15.00,0.30,105.00,2.20,"1,090.00",22.40,"2,766.00",56.90,768.00,15.80,6.00,0.10,113.00,2.30,976.00,20.10,177.00,3.60,330.00,6.80,204.00,100.00,10,2013-2014
Massachusetts,"1,923.00","1,233.00",0.64,690.00,0.36,9.00,0.50,56.00,2.90,621.00,32.30,319.00,16.60,864.00,44.90,4.00,0.20,51.00,2.70,469.00,24.40,103.00,5.40,261.00,13.60,208.00,100.00,10,2013-2014
Michigan,"5,260.00","3,201.00",0.61,"2,059.00",0.39,46.00,0.90,58.00,1.10,454.00,8.60,"1,809.00",34.40,"2,738.00",52.10,0.00,0.00,153.00,2.90,870.00,16.50,69.00,1.30,371.00,7.10,384.00,100.00,10,2013-2014
Minnesota,662.00,365.00,0.55,297.00,0.45,18.00,2.70,36.00,5.40,84.00,12.70,127.00,19.20,386.00,58.30,3.00,0.50,8.00,1.20,116.00,17.50,7.00,1.10,48.00,7.30,72.00,100.00,10,2013-2014
Mississippi,"2,422.00","1,584.00",0.65,838.00,0.35,6.00,0.20,11.00,0.50,65.00,2.70,"1,748.00",72.20,589.00,24.30,0.00,0.00,2.00,0.10,172.00,7.10,8.00,0.30,30.00,1.20,201.00,100.00,10,2013-2014
Missouri,"1,111.00",704.00,0.63,407.00,0.37,5.00,0.50,16.00,1.40,66.00,5.90,354.00,31.90,643.00,57.90,1.00,0.10,26.00,2.30,182.00,16.40,24.00,2.20,27.00,2.40,140.00,100.00,10,2013-2014
Montana,96.00,49.00,0.51,47.00,0.49,48.00,50.00,2.00,2.10,2.00,2.10,0.00,0.00,44.00,45.80,0.00,0.00,0.00,0.00,8.00,8.30,2.00,2.10,12.00,12.50,22.00,100.00,10,2013-2014
Nebraska,191.00,142.00,0.74,49.00,0.26,8.00,4.20,4.00,2.10,28.00,14.70,16.00,8.40,131.00,68.60,0.00,0.00,4.00,2.10,44.00,23.00,6.00,3.10,5.00,2.60,27.00,100.00,10,2013-2014
Nevada,378.00,197.00,0.52,181.00,0.48,15.00,4.00,5.00,1.30,120.00,31.70,28.00,7.40,197.00,52.10,4.00,1.10,9.00,2.40,49.00,13.00,8.00,2.10,10.00,2.60,30.00,100.00,10,2013-2014
New Hampshire,751.00,455.00,0.61,296.00,0.39,7.00,0.90,9.00,1.20,92.00,12.30,26.00,3.50,606.00,80.70,0.00,0.00,11.00,1.50,180.00,24.00,58.00,7.70,65.00,8.70,54.00,100.00,10,2013-2014
New Jersey,"1,764.00","1,102.00",0.62,662.00,0.38,6.00,0.30,32.00,1.80,781.00,44.30,567.00,32.10,361.00,20.50,0.00,0.00,17.00,1.00,360.00,20.40,25.00,1.40,155.00,8.80,176.00,100.00,10,2013-2014
New Mexico,826.00,474.00,0.57,352.00,0.43,120.00,14.50,3.00,0.40,538.00,65.10,21.00,2.50,132.00,16.00,0.00,0.00,12.00,1.50,98.00,11.90,19.00,2.30,174.00,21.10,69.00,100.00,10,2013-2014
New York,"13,153.00","7,923.00",0.60,"5,230.00",0.40,80.00,0.60,901.00,6.90,"5,408.00",41.10,"4,837.00",36.80,"1,841.00",14.00,28.00,0.20,58.00,0.40,"3,274.00",24.90,100.00,0.80,"2,016.00",15.30,726.00,100.00,10,2013-2014
North Carolina,"7,583.00","4,990.00",0.66,"2,593.00",0.34,151.00,2.00,81.00,1.10,"1,250.00",16.50,"3,279.00",43.20,"2,555.00",33.70,16.00,0.20,251.00,3.30,"1,624.00",21.40,188.00,2.50,533.00,7.00,473.00,100.00,10,2013-2014
North Dakota,107.00,72.00,0.67,35.00,0.33,29.00,27.10,3.00,2.80,5.00,4.70,10.00,9.30,60.00,56.10,0.00,0.00,0.00,0.00,12.00,11.20,9.00,8.40,9.00,8.40,23.00,100.00,10,2013-2014
Ohio,"3,860.00","2,253.00",0.58,"1,607.00",0.42,10.00,0.30,38.00,1.00,258.00,6.70,"1,843.00",47.70,"1,548.00",40.10,4.00,0.10,161.00,4.20,815.00,21.10,82.00,2.10,143.00,3.70,244.00,99.60,10,2013-2014
Oklahoma,"1,331.00",840.00,0.63,491.00,0.37,211.00,15.90,14.00,1.10,201.00,15.10,242.00,18.20,587.00,44.10,11.00,0.80,65.00,4.90,292.00,21.90,15.00,1.10,76.00,5.70,133.00,100.00,10,2013-2014
Oregon,"1,820.00","1,033.00",0.57,787.00,0.43,45.00,2.50,19.00,1.00,699.00,38.40,26.00,1.40,905.00,49.70,30.00,1.60,96.00,5.30,331.00,18.20,50.00,2.70,105.00,5.80,48.00,100.00,10,2013-2014
Pennsylvania,"4,519.00","2,790.00",0.62,"1,729.00",0.38,11.00,0.20,77.00,1.70,"1,046.00",23.10,"1,354.00",30.00,"1,932.00",42.80,0.00,0.00,98.00,2.20,895.00,19.80,109.00,2.40,302.00,6.70,410.00,100.00,10,2013-2014
Rhode Island,397.00,261.00,0.66,136.00,0.34,5.00,1.30,9.00,2.30,129.00,32.50,50.00,12.60,188.00,47.40,0.00,0.00,16.00,4.00,110.00,27.70,18.00,4.50,33.00,8.30,32.00,100.00,10,2013-2014
South Carolina,"3,685.00","2,354.00",0.64,"1,331.00",0.36,16.00,0.40,18.00,0.50,312.00,8.50,"1,631.00",44.30,"1,620.00",44.00,4.00,0.10,84.00,2.30,542.00,14.70,68.00,1.80,192.00,5.20,190.00,100.00,10,2013-2014
South Dakota,510.00,291.00,0.57,219.00,0.43,98.00,19.20,10.00,2.00,43.00,8.40,44.00,8.60,305.00,59.80,0.00,0.00,10.00,2.00,90.00,17.60,18.00,3.50,15.00,2.90,36.00,100.00,10,2013-2014
Tennessee,"2,820.00","1,818.00",0.64,"1,002.00",0.36,5.00,0.20,26.00,0.90,246.00,8.70,"1,609.00",57.10,907.00,32.20,0.00,0.00,26.00,0.90,435.00,15.40,31.00,1.10,106.00,3.80,153.00,100.00,10,2013-2014
Texas,"17,307.00","11,098.00",0.64,"6,209.00",0.36,73.00,0.40,170.00,1.00,"10,528.00",60.80,"3,037.00",17.50,"3,254.00",18.80,22.00,0.10,223.00,1.30,"2,402.00",13.90,"1,032.00",6.00,"2,193.00",12.70,"1,132.00",100.00,10,2013-2014
Utah,657.00,376.00,0.57,281.00,0.43,8.00,1.20,11.00,1.70,129.00,19.60,8.00,1.20,489.00,74.40,7.00,1.10,5.00,0.80,104.00,15.80,25.00,3.80,12.00,1.80,20.00,100.00,10,2013-2014
Vermont,162.00,106.00,0.65,56.00,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,157.00,96.90,0.00,0.00,5.00,3.10,32.00,19.80,17.00,10.50,2.00,1.20,29.00,100.00,10,2013-2014
Virginia,"3,861.00","2,435.00",0.63,"1,426.00",0.37,15.00,0.40,84.00,2.20,604.00,15.60,"1,774.00",45.90,"1,274.00",33.00,4.00,0.10,107.00,2.80,844.00,21.90,99.00,2.60,412.00,10.70,299.00,100.00,10,2013-2014
Washington,"2,128.00","1,258.00",0.59,870.00,0.41,51.00,2.40,94.00,4.40,537.00,25.20,242.00,11.40,979.00,46.00,51.00,2.40,174.00,8.20,395.00,18.60,69.00,3.20,161.00,7.60,113.00,100.00,10,2013-2014
West Virginia,613.00,399.00,0.65,214.00,0.35,0.00,0.00,2.00,0.30,12.00,2.00,64.00,10.40,524.00,85.50,0.00,0.00,11.00,1.80,87.00,14.20,10.00,1.60,5.00,0.80,66.00,100.00,10,2013-2014
Wisconsin,961.00,577.00,0.60,384.00,0.40,18.00,1.90,18.00,1.90,127.00,13.20,418.00,43.50,361.00,37.60,2.00,0.20,17.00,1.80,258.00,26.80,16.00,1.70,49.00,5.10,121.00,100.00,10,2013-2014
Wyoming,77.00,41.00,0.53,36.00,0.47,18.00,23.40,0.00,0.00,4.00,5.20,0.00,0.00,53.00,68.80,0.00,0.00,2.00,2.60,14.00,18.20,5.00,6.50,8.00,10.40,16.00,100.00,10,2013-2014
