State,Total Students,Number_Male,Percent_Male,Number_Female,Percent_Female,Number_American Indian or Alaska Native,"Percent_American Indian or
Alaska Native",Number_Asian,Percent_Asian,Number_Hispanic or Latino of any race,Percent_Hispanic or Latino of any race,Number_Black or African American,Percent_Black or African American,Number_White,Percent_White,Number_Native Hawaiian or Other Pacific Islander,Percent_Native Hawaiian or Other Pacific Islander,Number_Two or more races,Percent_Two or more races,Number_Students With Disabilities Served Under IDEA,Percent_Students With Disabilities Served Under IDEA,Number_Students With Disabilities Served Only Under Section 504,Percent_Students With Disabilities Served Only Under Section 504,Number_English Language Learners,Percent_English Language Learners,Number of Schools,Percent of Schools Reporting,Grade,Academic Year
United States,"94,399.00","55,728.00",0.59,"38,671.00",0.41,"1,434.00",1.50,"1,443.00",1.50,"30,733.00",32.60,"24,680.00",26.10,"33,078.00",35.00,258.00,0.30,"2,773.00",2.90,"15,354.00",16.30,"1,838.00",1.90,"17,821.00",18.90,"23,622.00",100.00,1,2013-2014
Alabama,"3,011.00","1,822.00",0.61,"1,189.00",0.39,21.00,0.70,7.00,0.20,232.00,7.70,"1,163.00",38.60,"1,490.00",49.50,4.00,0.10,94.00,3.10,435.00,14.40,8.00,0.30,189.00,6.30,546.00,100.00,1,2013-2014
Alaska,77.00,43.00,0.56,34.00,0.44,32.00,41.60,3.00,3.90,5.00,6.50,6.00,7.80,22.00,28.60,1.00,1.30,8.00,10.40,14.00,18.20,1.00,1.30,35.00,45.50,72.00,100.00,1,2013-2014
Arizona,"1,496.00",875.00,0.58,621.00,0.42,97.00,6.50,11.00,0.70,727.00,48.60,74.00,4.90,545.00,36.40,4.00,0.30,38.00,2.50,210.00,14.00,34.00,2.30,287.00,19.20,506.00,100.00,1,2013-2014
Arkansas,"1,374.00",836.00,0.61,538.00,0.39,11.00,0.80,7.00,0.50,155.00,11.30,347.00,25.30,824.00,60.00,11.00,0.80,19.00,1.40,149.00,10.80,20.00,1.50,93.00,6.80,326.00,100.00,1,2013-2014
California,"7,395.00","4,315.00",0.58,"3,080.00",0.42,57.00,0.80,279.00,3.80,"5,167.00",69.90,536.00,7.20,"1,164.00",15.70,28.00,0.40,164.00,2.20,869.00,11.80,38.00,0.50,"3,074.00",41.60,"2,387.00",100.00,1,2013-2014
Colorado,"1,018.00",596.00,0.59,422.00,0.41,6.00,0.60,14.00,1.40,451.00,44.30,56.00,5.50,460.00,45.20,4.00,0.40,27.00,2.70,187.00,18.40,5.00,0.50,231.00,22.70,501.00,100.00,1,2013-2014
Connecticut,"1,036.00",596.00,0.58,440.00,0.42,5.00,0.50,13.00,1.30,524.00,50.60,230.00,22.20,239.00,23.10,0.00,0.00,25.00,2.40,131.00,12.60,16.00,1.50,229.00,22.10,282.00,100.00,1,2013-2014
Delaware,268.00,155.00,0.58,113.00,0.42,2.00,0.70,0.00,0.00,64.00,23.90,94.00,35.10,100.00,37.30,1.00,0.40,7.00,2.60,61.00,22.80,5.00,1.90,58.00,21.60,74.00,100.00,1,2013-2014
District of Columbia,91.00,54.00,0.59,37.00,0.41,0.00,0.00,1.00,1.10,12.00,13.20,73.00,80.20,3.00,3.30,0.00,0.00,2.00,2.20,22.00,24.20,0.00,0.00,13.00,14.30,43.00,100.00,1,2013-2014
Florida,"8,215.00","4,923.00",0.60,"3,292.00",0.40,21.00,0.30,44.00,0.50,"2,713.00",33.00,"2,670.00",32.50,"2,518.00",30.70,10.00,0.10,239.00,2.90,"1,851.00",22.50,151.00,1.80,"1,748.00",21.30,"1,354.00",100.00,1,2013-2014
Georgia,"4,998.00","2,874.00",0.58,"2,124.00",0.42,18.00,0.40,112.00,2.20,807.00,16.10,"2,486.00",49.70,"1,426.00",28.50,10.00,0.20,139.00,2.80,722.00,14.40,133.00,2.70,742.00,14.80,983.00,100.00,1,2013-2014
Hawaii,268.00,154.00,0.57,114.00,0.43,3.00,1.10,35.00,13.10,41.00,15.30,7.00,2.60,54.00,20.10,93.00,34.70,35.00,13.10,16.00,6.00,0.00,0.00,42.00,15.70,99.00,100.00,1,2013-2014
Idaho,182.00,115.00,0.63,67.00,0.37,3.00,1.60,0.00,0.00,52.00,28.60,4.00,2.20,115.00,63.20,0.00,0.00,8.00,4.40,24.00,13.20,4.00,2.20,30.00,16.50,99.00,100.00,1,2013-2014
Illinois,"1,082.00",625.00,0.58,457.00,0.42,3.00,0.30,11.00,1.00,221.00,20.40,386.00,35.70,404.00,37.30,1.00,0.10,56.00,5.20,230.00,21.30,8.00,0.70,149.00,13.80,419.00,100.00,1,2013-2014
Indiana,"2,196.00","1,245.00",0.57,951.00,0.43,5.00,0.20,8.00,0.40,291.00,13.30,462.00,21.00,"1,309.00",59.60,2.00,0.10,119.00,5.40,398.00,18.10,18.00,0.80,191.00,8.70,650.00,100.00,1,2013-2014
Iowa,103.00,64.00,0.62,39.00,0.38,0.00,0.00,3.00,2.90,18.00,17.50,18.00,17.50,56.00,54.40,0.00,0.00,8.00,7.80,29.00,28.20,3.00,2.90,17.00,16.50,76.00,100.00,1,2013-2014
Kansas,201.00,125.00,0.62,76.00,0.38,4.00,2.00,7.00,3.50,51.00,25.40,10.00,5.00,113.00,56.20,0.00,0.00,16.00,8.00,46.00,22.90,2.00,1.00,36.00,17.90,114.00,100.00,1,2013-2014
Kentucky,"2,001.00","1,139.00",0.57,862.00,0.43,2.00,0.10,5.00,0.20,129.00,6.40,107.00,5.30,"1,696.00",84.80,2.00,0.10,60.00,3.00,573.00,28.60,8.00,0.40,93.00,4.60,378.00,100.00,1,2013-2014
Louisiana,"3,247.00","1,900.00",0.59,"1,347.00",0.41,35.00,1.10,10.00,0.30,113.00,3.50,"1,566.00",48.20,"1,450.00",44.70,0.00,0.00,72.00,2.20,449.00,13.80,85.00,2.60,62.00,1.90,578.00,100.00,1,2013-2014
Maine,153.00,91.00,0.59,62.00,0.41,3.00,2.00,0.00,0.00,4.00,2.60,2.00,1.30,140.00,91.50,0.00,0.00,4.00,2.60,43.00,28.10,2.00,1.30,5.00,3.30,78.00,100.00,1,2013-2014
Maryland,834.00,514.00,0.62,320.00,0.38,3.00,0.40,9.00,1.10,194.00,23.30,469.00,56.20,148.00,17.70,0.00,0.00,11.00,1.30,140.00,16.80,19.00,2.30,91.00,10.90,307.00,100.00,1,2013-2014
Massachusetts,"1,367.00",784.00,0.57,583.00,0.43,3.00,0.20,39.00,2.90,562.00,41.10,201.00,14.70,499.00,36.50,1.00,0.10,62.00,4.50,314.00,23.00,51.00,3.70,315.00,23.00,427.00,100.00,1,2013-2014
Michigan,"2,275.00","1,309.00",0.58,966.00,0.42,19.00,0.80,30.00,1.30,274.00,12.00,767.00,33.70,"1,087.00",47.80,2.00,0.10,95.00,4.20,394.00,17.30,9.00,0.40,239.00,10.50,734.00,100.00,1,2013-2014
Minnesota,506.00,293.00,0.58,213.00,0.42,15.00,3.00,27.00,5.30,51.00,10.10,90.00,17.80,309.00,61.10,2.00,0.40,12.00,2.40,78.00,15.40,4.00,0.80,74.00,14.60,110.00,100.00,1,2013-2014
Mississippi,"3,414.00","2,050.00",0.60,"1,364.00",0.40,4.00,0.10,13.00,0.40,118.00,3.50,"1,984.00",58.10,"1,274.00",37.30,3.00,0.10,19.00,0.60,409.00,12.00,5.00,0.10,76.00,2.20,371.00,100.00,1,2013-2014
Missouri,"1,043.00",580.00,0.56,463.00,0.44,5.00,0.50,9.00,0.90,106.00,10.20,220.00,21.10,672.00,64.40,2.00,0.20,29.00,2.80,168.00,16.10,12.00,1.20,87.00,8.30,377.00,100.00,1,2013-2014
Montana,80.00,51.00,0.64,29.00,0.36,21.00,26.30,0.00,0.00,0.00,0.00,2.00,2.50,55.00,68.80,0.00,0.00,2.00,2.50,12.00,15.00,0.00,0.00,4.00,5.00,52.00,100.00,1,2013-2014
Nebraska,87.00,63.00,0.72,24.00,0.28,2.00,2.30,3.00,3.40,30.00,34.50,11.00,12.60,38.00,43.70,0.00,0.00,3.00,3.40,24.00,27.60,0.00,0.00,24.00,27.60,61.00,100.00,1,2013-2014
Nevada,"1,027.00",571.00,0.56,456.00,0.44,14.00,1.40,14.00,1.40,545.00,53.10,122.00,11.90,275.00,26.80,8.00,0.80,49.00,4.80,137.00,13.30,10.00,1.00,404.00,39.30,255.00,100.00,1,2013-2014
New Hampshire,182.00,109.00,0.60,73.00,0.40,0.00,0.00,7.00,3.80,18.00,9.90,8.00,4.40,140.00,76.90,1.00,0.50,8.00,4.40,48.00,26.40,5.00,2.70,15.00,8.20,86.00,100.00,1,2013-2014
New Jersey,"1,998.00","1,161.00",0.58,837.00,0.42,0.00,0.00,56.00,2.80,"1,051.00",52.60,486.00,24.30,360.00,18.00,2.00,0.10,43.00,2.20,217.00,10.90,28.00,1.40,447.00,22.40,532.00,100.00,1,2013-2014
New Mexico,627.00,376.00,0.60,251.00,0.40,94.00,15.00,2.00,0.30,393.00,62.70,14.00,2.20,116.00,18.50,1.00,0.20,7.00,1.10,94.00,15.00,5.00,0.80,142.00,22.60,190.00,100.00,1,2013-2014
New York,"5,490.00","3,089.00",0.56,"2,401.00",0.44,60.00,1.10,262.00,4.80,"2,334.00",42.50,"1,659.00",30.20,"1,061.00",19.30,21.00,0.40,93.00,1.70,917.00,16.70,36.00,0.70,"1,152.00",21.00,"1,283.00",100.00,1,2013-2014
North Carolina,"4,454.00","2,670.00",0.60,"1,784.00",0.40,94.00,2.10,50.00,1.10,947.00,21.30,"1,469.00",33.00,"1,698.00",38.10,4.00,0.10,192.00,4.30,758.00,17.00,15.00,0.30,728.00,16.30,"1,052.00",100.00,1,2013-2014
North Dakota,69.00,42.00,0.61,27.00,0.39,13.00,18.80,1.00,1.40,10.00,14.50,6.00,8.70,37.00,53.60,0.00,0.00,2.00,2.90,15.00,21.70,0.00,0.00,7.00,10.10,43.00,100.00,1,2013-2014
Ohio,"2,506.00","1,433.00",0.57,"1,073.00",0.43,5.00,0.20,23.00,0.90,195.00,7.80,775.00,30.90,"1,370.00",54.70,4.00,0.20,134.00,5.30,356.00,14.20,16.00,0.60,143.00,5.70,737.00,100.00,1,2013-2014
Oklahoma,"3,373.00","1,981.00",0.59,"1,392.00",0.41,585.00,17.30,20.00,0.60,683.00,20.20,332.00,9.80,"1,541.00",45.70,10.00,0.30,202.00,6.00,504.00,14.90,24.00,0.70,550.00,16.30,613.00,100.00,1,2013-2014
Oregon,336.00,218.00,0.65,118.00,0.35,8.00,2.40,5.00,1.50,108.00,32.10,11.00,3.30,178.00,53.00,4.00,1.20,22.00,6.50,84.00,25.00,2.00,0.60,78.00,23.20,191.00,100.00,1,2013-2014
Pennsylvania,"1,916.00","1,142.00",0.60,774.00,0.40,4.00,0.20,32.00,1.70,322.00,16.80,663.00,34.60,796.00,41.50,2.00,0.10,99.00,5.20,375.00,19.60,27.00,1.40,100.00,5.20,663.00,100.00,1,2013-2014
Rhode Island,162.00,106.00,0.65,56.00,0.35,2.00,1.20,1.00,0.60,58.00,35.80,21.00,13.00,74.00,45.70,0.00,0.00,6.00,3.70,53.00,32.70,0.00,0.00,27.00,16.70,63.00,100.00,1,2013-2014
South Carolina,"1,855.00","1,135.00",0.61,720.00,0.39,10.00,0.50,4.00,0.20,150.00,8.10,839.00,45.20,778.00,41.90,2.00,0.10,72.00,3.90,424.00,22.90,27.00,1.50,103.00,5.60,420.00,100.00,1,2013-2014
South Dakota,127.00,78.00,0.61,49.00,0.39,31.00,24.40,2.00,1.60,16.00,12.60,11.00,8.70,64.00,50.40,0.00,0.00,3.00,2.40,13.00,10.20,3.00,2.40,16.00,12.60,68.00,100.00,1,2013-2014
Tennessee,"2,402.00","1,404.00",0.58,998.00,0.42,6.00,0.20,11.00,0.50,191.00,8.00,767.00,31.90,"1,384.00",57.60,0.00,0.00,42.00,1.70,299.00,12.40,16.00,0.70,141.00,5.90,609.00,99.20,1,2013-2014
Texas,"15,881.00","9,725.00",0.61,"6,156.00",0.39,75.00,0.50,185.00,1.20,"9,901.00",62.30,"2,448.00",15.40,"3,013.00",19.00,10.00,0.10,249.00,1.60,"2,220.00",14.00,922.00,5.80,"5,051.00",31.80,"3,263.00",100.00,1,2013-2014
Utah,105.00,75.00,0.71,30.00,0.29,1.00,1.00,0.00,0.00,29.00,27.60,3.00,2.90,71.00,67.60,1.00,1.00,0.00,0.00,36.00,34.30,3.00,2.90,15.00,14.30,68.00,100.00,1,2013-2014
Vermont,42.00,26.00,0.62,16.00,0.38,0.00,0.00,2.00,4.80,0.00,0.00,2.00,4.80,36.00,85.70,0.00,0.00,2.00,4.80,11.00,26.20,3.00,7.10,4.00,9.50,32.00,100.00,1,2013-2014
Virginia,"2,279.00","1,323.00",0.58,956.00,0.42,14.00,0.60,43.00,1.90,362.00,15.90,840.00,36.90,905.00,39.70,2.00,0.10,112.00,4.90,452.00,19.80,37.00,1.60,276.00,12.10,677.00,100.00,1,2013-2014
Washington,564.00,301.00,0.53,263.00,0.47,13.00,2.30,17.00,3.00,225.00,39.90,19.00,3.40,257.00,45.60,1.00,0.20,32.00,5.70,130.00,23.00,6.00,1.10,142.00,25.20,323.00,100.00,1,2013-2014
West Virginia,647.00,377.00,0.58,270.00,0.42,0.00,0.00,1.00,0.20,15.00,2.30,32.00,4.90,576.00,89.00,0.00,0.00,23.00,3.60,131.00,20.20,11.00,1.70,7.00,1.10,243.00,100.00,1,2013-2014
Wisconsin,280.00,161.00,0.58,119.00,0.43,7.00,2.50,5.00,1.80,54.00,19.30,112.00,40.00,93.00,33.20,1.00,0.40,8.00,2.90,68.00,24.30,1.00,0.40,34.00,12.10,174.00,100.00,1,2013-2014
Wyoming,59.00,34.00,0.58,25.00,0.42,0.00,0.00,0.00,0.00,14.00,23.70,0.00,0.00,45.00,76.30,0.00,0.00,0.00,0.00,14.00,23.70,0.00,0.00,5.00,8.50,33.00,100.00,1,2013-2014
United States,"140,774.00","86,705.00",0.62,"54,069.00",0.38,"1,650.00",1.20,"3,010.00",2.10,"42,715.00",30.30,"46,921.00",33.30,"42,682.00",30.30,742.00,0.50,"3,054.00",2.20,"24,602.00",17.50,"4,007.00",2.80,"13,029.00",9.30,"8,804.00",100.00,10,2013-2014
Alabama,"3,230.00","2,014.00",0.62,"1,216.00",0.38,22.00,0.70,14.00,0.40,134.00,4.10,"1,793.00",55.50,"1,224.00",37.90,3.00,0.10,40.00,1.20,400.00,12.40,39.00,1.20,75.00,2.30,236.00,100.00,10,2013-2014
Alaska,79.00,35.00,0.44,44.00,0.56,68.00,86.10,0.00,0.00,2.00,2.50,0.00,0.00,7.00,8.90,2.00,2.50,0.00,0.00,6.00,7.60,0.00,0.00,28.00,35.40,48.00,100.00,10,2013-2014
Arizona,"3,419.00","2,023.00",0.59,"1,396.00",0.41,171.00,5.00,38.00,1.10,"2,315.00",67.70,300.00,8.80,558.00,16.30,7.00,0.20,30.00,0.90,453.00,13.20,39.00,1.10,210.00,6.10,69.00,100.00,10,2013-2014
Arkansas,765.00,494.00,0.65,271.00,0.35,3.00,0.40,8.00,1.00,102.00,13.30,340.00,44.40,286.00,37.40,18.00,2.40,8.00,1.00,64.00,8.40,19.00,2.50,90.00,11.80,93.00,100.00,10,2013-2014
California,"8,489.00","5,054.00",0.60,"3,435.00",0.40,60.00,0.70,300.00,3.50,"5,852.00",68.90,933.00,11.00,"1,108.00",13.10,92.00,1.10,144.00,1.70,"1,034.00",12.20,105.00,1.20,"1,960.00",23.10,432.00,100.00,10,2013-2014
Colorado,"1,044.00",580.00,0.56,464.00,0.44,12.00,1.10,16.00,1.50,642.00,61.50,131.00,12.50,220.00,21.10,2.00,0.20,21.00,2.00,126.00,12.10,13.00,1.20,256.00,24.50,115.00,100.00,10,2013-2014
Connecticut,"1,475.00",938.00,0.64,537.00,0.36,8.00,0.50,31.00,2.10,517.00,35.10,403.00,27.30,489.00,33.20,1.00,0.10,25.00,1.70,260.00,17.60,67.00,4.50,148.00,10.00,122.00,100.00,10,2013-2014
Delaware,577.00,354.00,0.61,223.00,0.39,2.00,0.30,7.00,1.20,85.00,14.70,290.00,50.30,183.00,31.70,0.00,0.00,10.00,1.70,126.00,21.80,20.00,3.50,19.00,3.30,30.00,100.00,10,2013-2014
District of Columbia,239.00,142.00,0.59,97.00,0.41,0.00,0.00,3.00,1.30,26.00,10.90,201.00,84.10,7.00,2.90,0.00,0.00,2.00,0.80,56.00,23.40,6.00,2.50,14.00,5.90,25.00,100.00,10,2013-2014
Florida,"9,989.00","6,209.00",0.62,"3,780.00",0.38,52.00,0.50,87.00,0.90,"2,716.00",27.20,"3,077.00",30.80,"3,760.00",37.60,13.00,0.10,284.00,2.80,"2,099.00",21.00,398.00,4.00,850.00,8.50,345.00,100.00,10,2013-2014
Georgia,"12,552.00","7,448.00",0.59,"5,104.00",0.41,39.00,0.30,247.00,2.00,"1,806.00",14.40,"6,603.00",52.60,"3,502.00",27.90,18.00,0.10,337.00,2.70,"1,695.00",13.50,444.00,3.50,662.00,5.30,435.00,100.00,10,2013-2014
Hawaii,811.00,481.00,0.59,330.00,0.41,10.00,1.20,208.00,25.60,61.00,7.50,12.00,1.50,76.00,9.40,377.00,46.50,67.00,8.30,146.00,18.00,23.00,2.80,113.00,13.90,52.00,100.00,10,2013-2014
Idaho,274.00,160.00,0.58,114.00,0.42,6.00,2.20,5.00,1.80,69.00,25.20,5.00,1.80,184.00,67.20,0.00,0.00,5.00,1.80,12.00,4.40,17.00,6.20,34.00,12.40,32.00,100.00,10,2013-2014
Illinois,"6,822.00","4,047.00",0.59,"2,775.00",0.41,18.00,0.30,94.00,1.40,"2,388.00",35.00,"2,546.00",37.30,"1,626.00",23.80,0.00,0.00,147.00,2.20,"1,232.00",18.10,147.00,2.20,483.00,7.10,375.00,99.50,10,2013-2014
