State,Total Students,Number_Male,Percent_Male,Number_Female,Percent_Female,Number_American Indian or Alaska Native,"Percent_American Indian or
Alaska Native",Number_Asian,Percent_Asian,Number_Hispanic or Latino of any race,Percent_Hispanic or Latino of any race,Number_Black or African American,Percent_Black or African American,Number_White,Percent_White,Number_Native Hawaiian or Other Pacific Islander,Percent_Native Hawaiian or Other Pacific Islander,Number_Two or more races,Percent_Two or more races,Number_Students With Disabilities Served Under IDEA,Percent_Students With Disabilities Served Under IDEA,Number_Students With Disabilities Served Only Under Section 504,Percent_Students With Disabilities Served Only Under Section 504,Number_English Language Learners,Percent_English Language Learners,Number of Schools,Percent of Schools Reporting,Grade,Academic Year
Montana,106.00,52.00,0.49,54.00,0.51,20.00,18.90,0.00,0.00,4.00,3.80,7.00,6.60,73.00,68.90,0.00,0.00,2.00,1.90,23.00,21.70,1.00,0.90,5.00,4.70,57.00,100.00,1,2015-2016
Nebraska,74.00,42.00,0.57,32.00,0.43,3.00,4.10,6.00,8.10,16.00,21.60,5.00,6.80,42.00,56.80,0.00,0.00,2.00,2.70,30.00,40.50,1.00,1.40,13.00,17.60,59.00,100.00,1,2015-2016
Nevada,765.00,413.00,0.54,352.00,0.46,12.00,1.60,12.00,1.60,397.00,51.90,92.00,12.00,204.00,26.70,8.00,1.00,40.00,5.20,68.00,8.90,1.00,0.10,274.00,35.80,228.00,100.00,1,2015-2016
New Hampshire,122.00,76.00,0.62,46.00,0.38,0.00,0.00,4.00,3.30,18.00,14.80,1.00,0.80,95.00,77.90,0.00,0.00,4.00,3.30,26.00,21.30,7.00,5.70,9.00,7.40,66.00,100.00,1,2015-2016
New Jersey,"1,824.00","1,046.00",0.57,778.00,0.43,0.00,0.00,60.00,3.30,992.00,54.40,402.00,22.00,330.00,18.10,2.00,0.10,38.00,2.10,192.00,10.50,31.00,1.70,447.00,24.50,574.00,100.00,1,2015-2016
New Mexico,654.00,375.00,0.57,279.00,0.43,85.00,13.00,4.00,0.60,431.00,65.90,11.00,1.70,109.00,16.70,2.00,0.30,12.00,1.80,78.00,11.90,3.00,0.50,193.00,29.50,209.00,100.00,1,2015-2016
New York,"4,523.00","2,623.00",0.58,"1,900.00",0.42,42.00,0.90,194.00,4.30,"2,087.00",46.10,"1,278.00",28.30,842.00,18.60,13.00,0.30,67.00,1.50,"1,273.00",28.10,36.00,0.80,"1,062.00",23.50,"1,230.00",100.00,1,2015-2016
North Carolina,"3,916.00","2,266.00",0.58,"1,650.00",0.42,114.00,2.90,48.00,1.20,852.00,21.80,"1,342.00",34.30,"1,420.00",36.30,1.00,0.00,139.00,3.50,683.00,17.40,13.00,0.30,623.00,15.90,"1,018.00",100.00,1,2015-2016
North Dakota,59.00,30.00,0.51,29.00,0.49,14.00,23.70,4.00,6.80,6.00,10.20,1.00,1.70,34.00,57.60,0.00,0.00,0.00,0.00,6.00,10.20,0.00,0.00,7.00,11.90,37.00,100.00,1,2015-2016
Ohio,"2,520.00","1,383.00",0.55,"1,137.00",0.45,2.00,0.10,30.00,1.20,180.00,7.10,820.00,32.50,"1,303.00",51.70,3.00,0.10,182.00,7.20,341.00,13.50,16.00,0.60,147.00,5.80,768.00,100.00,1,2015-2016
Oklahoma,"2,871.00","1,622.00",0.56,"1,249.00",0.44,480.00,16.70,27.00,0.90,499.00,17.40,282.00,9.80,"1,332.00",46.40,14.00,0.50,237.00,8.30,480.00,16.70,13.00,0.50,398.00,13.90,596.00,100.00,1,2015-2016
Oregon,185.00,99.00,0.54,86.00,0.46,4.00,2.20,1.00,0.50,46.00,24.90,7.00,3.80,110.00,59.50,0.00,0.00,17.00,9.20,42.00,22.70,4.00,2.20,22.00,11.90,103.00,100.00,1,2015-2016
Pennsylvania,"1,540.00",892.00,0.58,648.00,0.42,1.00,0.10,16.00,1.00,237.00,15.40,591.00,38.40,581.00,37.70,0.00,0.00,114.00,7.40,274.00,17.80,19.00,1.20,87.00,5.60,573.00,100.00,1,2015-2016
Rhode Island,144.00,79.00,0.55,65.00,0.45,0.00,0.00,2.00,1.40,54.00,37.50,19.00,13.20,64.00,44.40,1.00,0.70,4.00,2.80,46.00,31.90,1.00,0.70,32.00,22.20,57.00,100.00,1,2015-2016
South Carolina,"1,687.00","1,006.00",0.60,681.00,0.40,10.00,0.60,10.00,0.60,140.00,8.30,731.00,43.30,735.00,43.60,3.00,0.20,58.00,3.40,446.00,26.40,16.00,0.90,98.00,5.80,441.00,100.00,1,2015-2016
South Dakota,110.00,64.00,0.58,46.00,0.42,43.00,39.10,3.00,2.70,17.00,15.50,4.00,3.60,37.00,33.60,0.00,0.00,6.00,5.50,13.00,11.80,2.00,1.80,14.00,12.70,66.00,100.00,1,2015-2016
Tennessee,"1,458.00",910.00,0.62,548.00,0.38,1.00,0.10,3.00,0.20,76.00,5.20,260.00,17.80,"1,093.00",75.00,0.00,0.00,25.00,1.70,248.00,17.00,10.00,0.70,32.00,2.20,491.00,100.00,1,2015-2016
Texas,"14,883.00","8,937.00",0.60,"5,946.00",0.40,70.00,0.50,151.00,1.00,"9,628.00",64.70,"2,099.00",14.10,"2,689.00",18.10,11.00,0.10,235.00,1.60,"2,100.00",14.10,"1,213.00",8.20,"4,852.00",32.60,"3,178.00",100.00,1,2015-2016
Utah,100.00,67.00,0.67,33.00,0.33,0.00,0.00,1.00,1.00,20.00,20.00,1.00,1.00,75.00,75.00,1.00,1.00,2.00,2.00,30.00,30.00,0.00,0.00,9.00,9.00,83.00,100.00,1,2015-2016
Vermont,29.00,20.00,0.69,9.00,0.31,0.00,0.00,0.00,0.00,0.00,0.00,1.00,3.40,28.00,96.60,0.00,0.00,0.00,0.00,6.00,20.70,1.00,3.40,1.00,3.40,24.00,100.00,1,2015-2016
Virginia,"1,814.00","1,071.00",0.59,743.00,0.41,5.00,0.30,45.00,2.50,297.00,16.40,640.00,35.30,718.00,39.60,7.00,0.40,102.00,5.60,419.00,23.10,20.00,1.10,249.00,13.70,614.00,100.00,1,2015-2016
Washington,444.00,233.00,0.52,211.00,0.48,10.00,2.30,8.00,1.80,192.00,43.20,12.00,2.70,188.00,42.30,6.00,1.40,28.00,6.30,91.00,20.50,5.00,1.10,143.00,32.20,260.00,100.00,1,2015-2016
West Virginia,543.00,331.00,0.61,212.00,0.39,1.00,0.20,1.00,0.20,9.00,1.70,21.00,3.90,498.00,91.70,0.00,0.00,13.00,2.40,101.00,18.60,6.00,1.10,6.00,1.10,220.00,100.00,1,2015-2016
Wisconsin,142.00,86.00,0.61,56.00,0.39,1.00,0.70,8.00,5.60,35.00,24.60,41.00,28.90,53.00,37.30,1.00,0.70,3.00,2.10,25.00,17.60,1.00,0.70,23.00,16.20,109.00,100.00,1,2015-2016
Wyoming,63.00,31.00,0.49,32.00,0.51,5.00,7.90,0.00,0.00,11.00,17.50,0.00,0.00,45.00,71.40,0.00,0.00,2.00,3.20,8.00,12.70,0.00,0.00,5.00,7.90,38.00,100.00,1,2015-2016
