Category,Subcategory,total_sampled,year,grade,value,value_mean_or_percent,standard_deviation
Digital Media,Social Media almost every day (%),109958,2012,8,59,percent,1.38
Digital Media,Social Media almost every day (%),100395,2012,10,71,percent,1.11
Digital Media,Social Media almost every day (%),20849,2012,12,72,percent,1.07
Digital Media,Social Media almost every day (%),109958,2013,8,62,percent,1.35
Digital Media,Social Media almost every day (%),100395,2013,10,72,percent,1.13
Digital Media,Social Media almost every day (%),20849,2013,12,74,percent,1.07
Digital Media,Social Media almost every day (%),109958,2014,8,72,percent,1.27
Digital Media,Social Media almost every day (%),100395,2014,10,79,percent,1.07
Digital Media,Social Media almost every day (%),20849,2014,12,81,percent,0.99
Digital Media,Social Media almost every day (%),109958,2015,8,75,percent,1.22
Digital Media,Social Media almost every day (%),100395,2015,10,81,percent,1.05
Digital Media,Social Media almost every day (%),20849,2015,12,82,percent,0.89
Digital Media,Social Media almost every day (%),109958,2016,8,75,percent,1.23
Digital Media,Social Media almost every day (%),100395,2016,10,83,percent,0.97
Digital Media,Social Media almost every day (%),20849,2016,12,82,percent,0.94
Digital Media,Gaming(hr/day),39560,2005-2009,8,1.05,mean,1.42
Digital Media,Gaming(hr/day),41437,2005-2009,10,0.93,mean,1.35
Digital Media,Gaming(hr/day),15827,2005-2009,12,0.92,mean,1.35
Digital Media,Gaming(hr/day),39560,2010,8,1.29,mean,1.84
Digital Media,Gaming(hr/day),41437,2010,10,1.19,mean,1.75
Digital Media,Gaming(hr/day),15827,2010,12,1.29,mean,1.85
Digital Media,Gaming(hr/day),39560,2011,8,1.37,mean,1.87
Digital Media,Gaming(hr/day),41437,2011,10,1.25,mean,1.84
Digital Media,Gaming(hr/day),15827,2011,12,1.31,mean,1.83
Digital Media,Gaming(hr/day),39560,2012,8,1.34,mean,1.82
Digital Media,Gaming(hr/day),41437,2012,10,1.32,mean,1.87
Digital Media,Gaming(hr/day),15827,2012,12,1.38,mean,1.93
Digital Media,Gaming(hr/day),39560,2013,8,1.57,mean,2.01
Digital Media,Gaming(hr/day),41437,2013,10,1.45,mean,1.96
Digital Media,Gaming(hr/day),15827,2013,12,1.41,mean,1.93
Digital Media,Gaming(hr/day),39560,2014,8,1.6,mean,2.05
Digital Media,Gaming(hr/day),41437,2014,10,1.62,mean,2.09
Digital Media,Gaming(hr/day),15827,2014,12,1.44,mean,1.89
Digital Media,Gaming(hr/day),39560,2015,8,1.61,mean,2.05
Digital Media,Gaming(hr/day),41437,2015,10,1.45,mean,1.96
Digital Media,Gaming(hr/day),15827,2015,12,1.46,mean,1.97
Digital Media,Gaming(hr/day),39560,2016,8,1.57,mean,1.98
Digital Media,Gaming(hr/day),41437,2016,10,1.54,mean,1.99
Digital Media,Gaming(hr/day),15827,2016,12,1.5,mean,1.98
