Category,Subcategory,total_sampled,year,grade,value,value_mean_or_percent,standard_deviation
Digital Media,Social Media (hr/day),17532,2000-2004,10,,,
Digital Media,Social Media (hr/day),5658,2000-2004,12,,,
Digital Media,Social Media (hr/day),17166,2005-2009,8,,,
Digital Media,Social Media (hr/day),17532,2005-2009,10,,,
Digital Media,Social Media (hr/day),5658,2005-2009,12,,,
Digital Media,Social Media (hr/day),17166,2010,8,,,
Digital Media,Social Media (hr/day),17532,2010,10,,,
Digital Media,Social Media (hr/day),5658,2010,12,,,
Digital Media,Social Media (hr/day),17166,2011,8,,,
Digital Media,Social Media (hr/day),17532,2011,10,,,
Digital Media,Social Media (hr/day),5658,2011,12,,,
Digital Media,Social Media (hr/day),17166,2012,8,,,
Digital Media,Social Media (hr/day),17532,2012,10,,,
Digital Media,Social Media (hr/day),5658,2012,12,,,
Digital Media,Social Media (hr/day),17166,2013,8,1.25,mean,1.98
Digital Media,Social Media (hr/day),17532,2013,10,1.34,mean,1.95
Digital Media,Social Media (hr/day),5658,2013,12,1.43,mean,1.95
Digital Media,Social Media (hr/day),17166,2014,8,1.49,mean,2.14
Digital Media,Social Media (hr/day),17532,2014,10,1.73,mean,2.2
Digital Media,Social Media (hr/day),5658,2014,12,1.78,mean,2.14
Digital Media,Social Media (hr/day),17166,2015,8,1.41,mean,2.07
Digital Media,Social Media (hr/day),17532,2015,10,1.61,mean,2.1
Digital Media,Social Media (hr/day),5658,2015,12,1.7,mean,2.11
Digital Media,Social Media (hr/day),17166,2016,8,1.36,mean,1.99
Digital Media,Social Media (hr/day),17532,2016,10,1.63,mean,2.06
Digital Media,Social Media (hr/day),5658,2016,12,1.75,mean,2.13
Digital Media,Social Media (1-5 scale),109958,1976-1979,8,,,
Digital Media,Social Media (1-5 scale),100395,1976-1979,10,,,
Digital Media,Social Media (1-5 scale),20849,1976-1979,12,,,
Digital Media,Social Media (1-5 scale),109958,1980-1984,8,,,
Digital Media,Social Media (1-5 scale),100395,1980-1984,10,,,
Digital Media,Social Media (1-5 scale),20849,1980-1984,12,,,
Digital Media,Social Media (1-5 scale),109958,1985-1989,8,,,
Digital Media,Social Media (1-5 scale),100395,1985-1989,10,,,
Digital Media,Social Media (1-5 scale),20849,1985-1989,12,,,
Digital Media,Social Media (1-5 scale),109958,1990-1994,8,,,
Digital Media,Social Media (1-5 scale),100395,1990-1994,10,,,
Digital Media,Social Media (1-5 scale),20849,1990-1994,12,,,
Digital Media,Social Media (1-5 scale),109958,1995-1999,8,,,
Digital Media,Social Media (1-5 scale),100395,1995-1999,10,,,
Digital Media,Social Media (1-5 scale),20849,1995-1999,12,,,
Digital Media,Social Media (1-5 scale),109958,2000-2004,8,,,
Digital Media,Social Media (1-5 scale),100395,2000-2004,10,,,
Digital Media,Social Media (1-5 scale),20849,2000-2004,12,,,
Digital Media,Social Media (1-5 scale),109958,2005-2009,8,3.73,mean,1.58
Digital Media,Social Media (1-5 scale),100395,2005-2009,10,4.04,mean,1.37
Digital Media,Social Media (1-5 scale),20849,2005-2009,12,3.98,mean,1.37
Digital Media,Social Media (1-5 scale),109958,2010,8,4,mean,1.45
Digital Media,Social Media (1-5 scale),100395,2010,10,4.24,mean,1.26
Digital Media,Social Media (1-5 scale),20849,2010,12,4.26,mean,1.22
Digital Media,Social Media (1-5 scale),109958,2011,8,4.07,mean,1.43
Digital Media,Social Media (1-5 scale),100395,2011,10,4.36,mean,1.19
Digital Media,Social Media (1-5 scale),20849,2011,12,4.41,mean,1.13
Digital Media,Social Media (1-5 scale),109958,2012,8,4.09,mean,1.38
Digital Media,Social Media (1-5 scale),100395,2012,10,4.43,mean,1.11
Digital Media,Social Media (1-5 scale),20849,2012,12,4.48,mean,1.07
Digital Media,Social Media (1-5 scale),109958,2013,8,4.15,mean,1.35
Digital Media,Social Media (1-5 scale),100395,2013,10,4.43,mean,1.13
Digital Media,Social Media (1-5 scale),20849,2013,12,4.48,mean,1.07
Digital Media,Social Media (1-5 scale),109958,2014,8,4.34,mean,1.27
Digital Media,Social Media (1-5 scale),100395,2014,10,4.53,mean,1.07
Digital Media,Social Media (1-5 scale),20849,2014,12,4.59,mean,0.99
Digital Media,Social Media (1-5 scale),109958,2015,8,4.41,mean,1.22
Digital Media,Social Media (1-5 scale),100395,2015,10,4.57,mean,1.05
Digital Media,Social Media (1-5 scale),20849,2015,12,4.65,mean,0.89
Digital Media,Social Media (1-5 scale),109958,2016,8,4.4,mean,1.23
Digital Media,Social Media (1-5 scale),100395,2016,10,4.63,mean,0.97
Digital Media,Social Media (1-5 scale),20849,2016,12,4.64,mean,0.94
Digital Media,Social Media almost every day (%),109958,1976-1979,8,,,
Digital Media,Social Media almost every day (%),100395,1976-1979,10,,,
Digital Media,Social Media almost every day (%),20849,1976-1979,12,,,
Digital Media,Social Media almost every day (%),109958,1980-1984,8,,,
Digital Media,Social Media almost every day (%),100395,1980-1984,10,,,
Digital Media,Social Media almost every day (%),20849,1980-1984,12,,,
Digital Media,Social Media almost every day (%),109958,1985-1989,8,,,
Digital Media,Social Media almost every day (%),100395,1985-1989,10,,,
Digital Media,Social Media almost every day (%),20849,1985-1989,12,,,
Digital Media,Social Media almost every day (%),109958,1990-1994,8,,,
Digital Media,Social Media almost every day (%),100395,1990-1994,10,,,
Digital Media,Social Media almost every day (%),20849,1990-1994,12,,,
Digital Media,Social Media almost every day (%),109958,1995-1999,8,,,
Digital Media,Social Media almost every day (%),100395,1995-1999,10,,,
Digital Media,Social Media almost every day (%),20849,1995-1999,12,,,
Digital Media,Social Media almost every day (%),109958,2000-2004,8,,,
Digital Media,Social Media almost every day (%),100395,2000-2004,10,,,
Digital Media,Social Media almost every day (%),20849,2000-2004,12,,,
Digital Media,Social Media almost every day (%),109958,2005-2009,8,51,percent,1.58
Digital Media,Social Media almost every day (%),100395,2005-2009,10,58,percent,1.37
Digital Media,Social Media almost every day (%),20849,2005-2009,12,52,percent,1.37
Digital Media,Social Media almost every day (%),109958,2010,8,57,percent,1.45
Digital Media,Social Media almost every day (%),100395,2010,10,64,percent,1.26
Digital Media,Social Media almost every day (%),20849,2010,12,63,percent,1.22
Digital Media,Social Media almost every day (%),109958,2011,8,61,percent,1.43
Digital Media,Social Media almost every day (%),100395,2011,10,69,percent,1.19
Digital Media,Social Media almost every day (%),20849,2011,12,70,percent,1.13
Digital Media,Social Media almost every day (%),109958,2012,8,59,percent,1.38
Digital Media,Social Media almost every day (%),100395,2012,10,71,percent,1.11
Digital Media,Social Media almost every day (%),20849,2012,12,72,percent,1.07
Digital Media,Social Media almost every day (%),109958,2013,8,62,percent,1.35
Digital Media,Social Media almost every day (%),100395,2013,10,72,percent,1.13
Digital Media,Social Media almost every day (%),20849,2013,12,74,percent,1.07
Digital Media,Social Media almost every day (%),109958,2014,8,72,percent,1.27
Digital Media,Social Media almost every day (%),100395,2014,10,79,percent,1.07
Digital Media,Social Media almost every day (%),20849,2014,12,81,percent,0.99
Digital Media,Social Media almost every day (%),109958,2015,8,75,percent,1.22
Digital Media,Social Media almost every day (%),100395,2015,10,81,percent,1.05
Digital Media,Social Media almost every day (%),20849,2015,12,82,percent,0.89
Digital Media,Social Media almost every day (%),109958,2016,8,75,percent,1.23
Digital Media,Social Media almost every day (%),100395,2016,10,83,percent,0.97
Digital Media,Social Media almost every day (%),20849,2016,12,82,percent,0.94
Digital Media,Gaming(hr/day),39560,1976-1979,8,,,
Digital Media,Gaming(hr/day),41437,1976-1979,10,,,
Digital Media,Gaming(hr/day),15827,1976-1979,12,,,
Digital Media,Gaming(hr/day),39560,1980-1984,8,,,
Digital Media,Gaming(hr/day),41437,1980-1984,10,,,
Digital Media,Gaming(hr/day),15827,1980-1984,12,,,
Digital Media,Gaming(hr/day),39560,1985-1989,8,,,
Digital Media,Gaming(hr/day),41437,1985-1989,10,,,
Digital Media,Gaming(hr/day),15827,1985-1989,12,,,
Digital Media,Gaming(hr/day),39560,1990-1994,8,,,
Digital Media,Gaming(hr/day),41437,1990-1994,10,,,
Digital Media,Gaming(hr/day),15827,1990-1994,12,,,
Digital Media,Gaming(hr/day),39560,1995-1999,8,,,
Digital Media,Gaming(hr/day),41437,1995-1999,10,,,
Digital Media,Gaming(hr/day),15827,1995-1999,12,,,
Digital Media,Gaming(hr/day),39560,2000-2004,8,,,
Digital Media,Gaming(hr/day),41437,2000-2004,10,,,
Digital Media,Gaming(hr/day),15827,2000-2004,12,,,
Digital Media,Gaming(hr/day),39560,2005-2009,8,1.05,mean,1.42
Digital Media,Gaming(hr/day),41437,2005-2009,10,0.93,mean,1.35
Digital Media,Gaming(hr/day),15827,2005-2009,12,0.92,mean,1.35
Digital Media,Gaming(hr/day),39560,2010,8,1.29,mean,1.84
Digital Media,Gaming(hr/day),41437,2010,10,1.19,mean,1.75
Digital Media,Gaming(hr/day),15827,2010,12,1.29,mean,1.85
Digital Media,Gaming(hr/day),39560,2011,8,1.37,mean,1.87
Digital Media,Gaming(hr/day),41437,2011,10,1.25,mean,1.84
Digital Media,Gaming(hr/day),15827,2011,12,1.31,mean,1.83
Digital Media,Gaming(hr/day),39560,2012,8,1.34,mean,1.82
Digital Media,Gaming(hr/day),41437,2012,10,1.32,mean,1.87
Digital Media,Gaming(hr/day),15827,2012,12,1.38,mean,1.93
Digital Media,Gaming(hr/day),39560,2013,8,1.57,mean,2.01
Digital Media,Gaming(hr/day),41437,2013,10,1.45,mean,1.96
Digital Media,Gaming(hr/day),15827,2013,12,1.41,mean,1.93
Digital Media,Gaming(hr/day),39560,2014,8,1.6,mean,2.05
Digital Media,Gaming(hr/day),41437,2014,10,1.62,mean,2.09
Digital Media,Gaming(hr/day),15827,2014,12,1.44,mean,1.89
Digital Media,Gaming(hr/day),39560,2015,8,1.61,mean,2.05
Digital Media,Gaming(hr/day),41437,2015,10,1.45,mean,1.96
Digital Media,Gaming(hr/day),15827,2015,12,1.46,mean,1.97
Digital Media,Gaming(hr/day),39560,2016,8,1.57,mean,1.98
Digital Media,Gaming(hr/day),41437,2016,10,1.54,mean,1.99
Digital Media,Gaming(hr/day),15827,2016,12,1.5,mean,1.98
Legacy Media,Books (# in last year),108896,1976-1979,12,5.15,mean,4.24
Legacy Media,books/magazines (1-5 scale),110732,1976-1979,12,4.39,mean,0.91
Legacy Media,books/magazines every day (%),110732,1976-1979,12,60,percent,
Legacy Media,Books (# in last year),108896,1980-1984,12,4.66,mean,4.13
Legacy Media,books/magazines (1-5 scale),110732,1980-1984,12,4.32,mean,0.94
Legacy Media,books/magazines every day (%),110732,1980-1984,12,56,percent,
Legacy Media,Books (# in last year),108896,1985-1989,12,4.17,mean,4.04
Legacy Media,books/magazines (1-5 scale),110732,1985-1989,12,4.19,mean,0.99
Legacy Media,books/magazines every day (%),110732,1985-1989,12,48,percent,
Legacy Media,Books (# in last year),108896,1990-1994,12,3.96,mean,3.92
Legacy Media,books/magazines (1-5 scale),110732,1990-1994,12,4.15,mean,1
Legacy Media,books/magazines every day (%),110732,1990-1994,12,46,percent,
Legacy Media,Books (# in last year),108896,1995-1999,12,3.68,mean,3.85
Legacy Media,books/magazines (1-5 scale),110732,1995-1999,12,4.03,mean,1.04
Legacy Media,books/magazines every day (%),110732,1995-1999,12,41,percent,
Legacy Media,Books (# in last year),108896,2000-2004,12,3.33,mean,3.68
Legacy Media,books/magazines (1-5 scale),110732,2000-2004,12,3.91,mean,1.08
Legacy Media,books/magazines every day (%),110732,2000-2004,12,35,percent,
Legacy Media,Books (# in last year),108896,2005-2009,12,3.85,mean,3.91
Legacy Media,books/magazines (1-5 scale),110732,2005-2009,12,3.79,mean,1.15
Legacy Media,books/magazines every day (%),110732,2005-2009,12,32,percent,
Legacy Media,Books (# in last year),108896,2010,12,3.78,mean,3.85
Legacy Media,books/magazines (1-5 scale),110732,2010,12,3.57,mean,1.2
Legacy Media,books/magazines every day (%),110732,2010,12,26,percent,
Legacy Media,Books (# in last year),108896,2011,12,3.93,mean,4.02
Legacy Media,books/magazines (1-5 scale),110732,2011,12,3.52,mean,1.22
Legacy Media,books/magazines every day (%),110732,2011,12,25,percent,
Legacy Media,Books (# in last year),108896,2012,12,3.77,mean,4.04
Legacy Media,books/magazines (1-5 scale),110732,2012,12,3.43,mean,1.26
