Category,Subcategory,total_sampled,year,grade,value,value_mean_or_percent,standard_deviation
Legacy Media,Going to movies(1-5 scale),400826,2012,10,2.61,mean,0.67
Legacy Media,Going to movies(1-5 scale),180104,2012,12,2.57,mean,0.65
Legacy Media,Going to movies(1-5 scale),440279,2013,8,2.63,mean,0.74
Legacy Media,Going to movies(1-5 scale),400826,2013,10,2.54,mean,0.67
Legacy Media,Going to movies(1-5 scale),180104,2013,12,2.49,mean,0.66
Legacy Media,Going to movies(1-5 scale),440279,2014,8,2.64,mean,0.73
Legacy Media,Going to movies(1-5 scale),400826,2014,10,2.51,mean,0.67
Legacy Media,Going to movies(1-5 scale),180104,2014,12,2.49,mean,0.66
Legacy Media,Going to movies(1-5 scale),440279,2015,8,2.63,mean,0.72
Legacy Media,Going to movies(1-5 scale),400826,2015,10,2.49,mean,0.67
Legacy Media,Going to movies(1-5 scale),180104,2015,12,2.48,mean,0.66
Legacy Media,Going to movies(1-5 scale),440279,2016,8,2.59,mean,0.72
Legacy Media,Going to movies(1-5 scale),400826,2016,10,2.48,mean,0.67
Legacy Media,Going to movies(1-5 scale),180104,2016,12,2.44,mean,0.66
Legacy Media,TV (hr/day),438359,1976-1979,8,,,
Legacy Media,TV (hr/day),399337,1976-1979,10,,,
Legacy Media,TV (hr/day) (weekdays only),109055,1976-1979,12,2.45,mean,1.83
Legacy Media,TV (hr/day),438359,1980-1984,8,,,
Legacy Media,TV (hr/day),399337,1980-1984,10,,,
Legacy Media,TV (hr/day) (weekdays only),109055,1980-1984,12,2.42,mean,1.76
Legacy Media,TV (hr/day),438359,1985-1989,8,,,
Legacy Media,TV (hr/day),399337,1985-1989,10,,,
Legacy Media,TV (hr/day) (weekdays only),109055,1985-1989,12,2.36,mean,1.77
Legacy Media,TV (hr/day),438359,1990-1994,8,2.95,mean,1.61
Legacy Media,TV (hr/day),399337,1990-1994,10,2.53,mean,1.55
Legacy Media,TV (hr/day) (weekdays only),109055,1990-1994,12,2.34,mean,1.78
Legacy Media,TV (hr/day),438359,1995-1999,8,2.89,mean,1.65
Legacy Media,TV (hr/day),399337,1995-1999,10,2.42,mean,1.54
Legacy Media,TV (hr/day) (weekdays only),109055,1995-1999,12,2.25,mean,1.78
Legacy Media,TV (hr/day),438359,2000-2004,8,2.79,mean,1.65
Legacy Media,TV (hr/day),399337,2000-2004,10,2.42,mean,1.59
Legacy Media,TV (hr/day) (weekdays only),109055,2000-2004,12,2.2,mean,1.8
Legacy Media,TV (hr/day),438359,2005-2009,8,2.64,mean,1.65
Legacy Media,TV (hr/day),399337,2005-2009,10,2.34,mean,1.57
Legacy Media,TV (hr/day) (weekdays only),109055,2005-2009,12,2.13,mean,1.75
Legacy Media,TV (hr/day),438359,2010,8,2.49,mean,1.66
Legacy Media,TV (hr/day),399337,2010,10,2.19,mean,1.54
Legacy Media,TV (hr/day) (weekdays only),109055,2010,12,2.12,mean,1.75
Legacy Media,TV (hr/day),438359,2011,8,2.44,mean,1.63
Legacy Media,TV (hr/day),399337,2011,10,2.21,mean,1.54
Legacy Media,TV (hr/day) (weekdays only),109055,2011,12,2.13,mean,1.77
Legacy Media,TV (hr/day),438359,2012,8,2.29,mean,1.57
Legacy Media,TV (hr/day),399337,2012,10,2.1,mean,1.52
Legacy Media,TV (hr/day) (weekdays only),109055,2012,12,2.07,mean,1.75
Legacy Media,TV (hr/day),438359,2013,8,2.34,mean,1.63
Legacy Media,TV (hr/day),399337,2013,10,2.06,mean,1.43
Legacy Media,TV (hr/day) (weekdays only),109055,2013,12,1.89,mean,1.69
Legacy Media,TV (hr/day),438359,2014,8,2.28,mean,1.63
Legacy Media,TV (hr/day),399337,2014,10,2.01,mean,1.53
Legacy Media,TV (hr/day) (weekdays only),109055,2014,12,1.88,mean,1.69
Legacy Media,TV (hr/day),438359,2015,8,2.13,mean,1.6
Legacy Media,TV (hr/day),399337,2015,10,1.86,mean,1.51
Legacy Media,TV (hr/day) (weekdays only),109055,2015,12,1.87,mean,1.75
Legacy Media,TV (hr/day),438359,2016,8,2.04,mean,1.61
Legacy Media,TV (hr/day),399337,2016,10,1.81,mean,1.51
Legacy Media,TV (hr/day) (weekdays only),109055,2016,12,1.87,mean,1.79
