State,Start Grade,End Grade,Start_Year,End_Year,Year,Start_Retention_Count,End_Retention_Count,Derived Cohort Loss Count,Drop_Pct,apportioned_migrants
Idaho,Grade 10,Grade 12,2013-2014,2015-2016,2016,274.0,625.0,0.0,0.0,9257.075268817205
Idaho,Grade 10,Grade 12,2015-2016,2017-2018,2018,227.0,712.0,0.0,0.0,0.0
Idaho,Grade 8,Grade 10,2013-2014,2015-2016,2016,98.0,227.0,0.0,0.0,3310.9247311827958
Idaho,Grade 8,Grade 10,2015-2016,2017-2018,2018,96.0,264.0,0.0,0.0,0.0
Illinois,Grade 10,Grade 12,2013-2014,2015-2016,2016,6822.0,6131.0,691.0,10.128994429786,30235.148485260153
Illinois,Grade 10,Grade 12,2015-2016,2017-2018,2018,6240.0,6027.0,213.0,3.41346153846154,0.0
Illinois,Grade 8,Grade 10,2013-2014,2015-2016,2016,539.0,6240.0,0.0,0.0,2388.8515147398452
Illinois,Grade 8,Grade 10,2015-2016,2017-2018,2018,380.0,5004.0,0.0,0.0,0.0
Indiana,Grade 10,Grade 12,2013-2014,2015-2016,2016,397.0,1334.0,0.0,0.0,20097.5332197615
Indiana,Grade 10,Grade 12,2015-2016,2017-2018,2018,464.0,1448.0,0.0,0.0,0.0
Indiana,Grade 8,Grade 10,2013-2014,2015-2016,2016,190.0,464.0,0.0,0.0,9618.466780238501
Indiana,Grade 8,Grade 10,2015-2016,2017-2018,2018,170.0,248.0,0.0,0.0,0.0
Iowa,Grade 10,Grade 12,2013-2014,2015-2016,2016,276.0,1812.0,0.0,0.0,14778.461538461539
Iowa,Grade 10,Grade 12,2015-2016,2017-2018,2018,309.0,1952.0,0.0,0.0,0.0
Iowa,Grade 8,Grade 10,2013-2014,2015-2016,2016,23.0,309.0,0.0,0.0,1231.5384615384614
Iowa,Grade 8,Grade 10,2015-2016,2017-2018,2018,41.0,257.0,0.0,0.0,0.0
Kansas,Grade 10,Grade 12,2013-2014,2015-2016,2016,593.0,524.0,69.0,11.6357504215852,14882.41746031746
Kansas,Grade 10,Grade 12,2015-2016,2017-2018,2018,672.0,669.0,3.0,0.44642857142857,0.0
Kansas,Grade 8,Grade 10,2013-2014,2015-2016,2016,37.0,672.0,0.0,0.0,928.5825396825397
Kansas,Grade 8,Grade 10,2015-2016,2017-2018,2018,29.0,564.0,0.0,0.0,0.0
Kentucky,Grade 10,Grade 12,2013-2014,2015-2016,2016,1642.0,553.0,1089.0,66.3215590742996,15317.177221926557
Kentucky,Grade 10,Grade 12,2015-2016,2017-2018,2018,1692.0,870.0,822.0,48.5815602836879,0.0
Kentucky,Grade 8,Grade 10,2013-2014,2015-2016,2016,237.0,1692.0,0.0,0.0,2210.8227780734433
Kentucky,Grade 8,Grade 10,2015-2016,2017-2018,2018,185.0,2660.0,0.0,0.0,0.0
Louisiana,Grade 10,Grade 12,2013-2014,2015-2016,2016,2172.0,1503.0,669.0,30.801104972375697,3939.0284602286547
Louisiana,Grade 10,Grade 12,2015-2016,2017-2018,2018,1946.0,1435.0,511.0,26.258992805755398,0.0
Louisiana,Grade 8,Grade 10,2013-2014,2015-2016,2016,6050.0,1946.0,4104.0,67.8347107438017,10971.971539771344
Louisiana,Grade 8,Grade 10,2015-2016,2017-2018,2018,1742.0,1840.0,0.0,0.0,0.0
Maine,Grade 10,Grade 12,2013-2014,2015-2016,2016,131.0,308.0,0.0,0.0,4237.267015706806
Maine,Grade 10,Grade 12,2015-2016,2017-2018,2018,61.0,386.0,0.0,0.0,0.0
Maine,Grade 8,Grade 10,2013-2014,2015-2016,2016,60.0,61.0,0.0,0.0,1940.7329842931938
Maine,Grade 8,Grade 10,2015-2016,2017-2018,2018,42.0,15.0,27.0,64.2857142857143,0.0
Maryland,Grade 10,Grade 12,2013-2014,2015-2016,2016,4863.0,2927.0,1936.0,39.8108163684968,20784.66155218555
Maryland,Grade 10,Grade 12,2015-2016,2017-2018,2018,4541.0,3696.0,845.0,18.6082360713499,0.0
Maryland,Grade 8,Grade 10,2013-2014,2015-2016,2016,742.0,4541.0,0.0,0.0,3171.3384478144512
Maryland,Grade 8,Grade 10,2015-2016,2017-2018,2018,680.0,5164.0,0.0,0.0,0.0
Massachusetts,Grade 10,Grade 12,2013-2014,2015-2016,2016,1923.0,2009.0,0.0,0.0,19002.170285714285
Massachusetts,Grade 10,Grade 12,2015-2016,2017-2018,2018,1734.0,1259.0,475.0,27.3933102652826,0.0
Massachusetts,Grade 8,Grade 10,2013-2014,2015-2016,2016,702.0,1734.0,0.0,0.0,6936.8297142857145
Massachusetts,Grade 8,Grade 10,2015-2016,2017-2018,2018,339.0,1502.0,0.0,0.0,0.0
Michigan,Grade 10,Grade 12,2013-2014,2015-2016,2016,5260.0,4168.0,1092.0,20.760456273764298,26469.99323181049
Michigan,Grade 10,Grade 12,2015-2016,2017-2018,2018,3456.0,3723.0,0.0,0.0,0.0
Michigan,Grade 8,Grade 10,2013-2014,2015-2016,2016,650.0,3456.0,0.0,0.0,3271.0067681895093
Michigan,Grade 8,Grade 10,2015-2016,2017-2018,2018,600.0,2831.0,0.0,0.0,0.0
Minnesota,Grade 10,Grade 12,2013-2014,2015-2016,2016,662.0,2580.0,0.0,0.0,12528.722820763956
Minnesota,Grade 10,Grade 12,2015-2016,2017-2018,2018,299.0,3422.0,0.0,0.0,0.0
